Percobaan,Model,Accuracy_Test,Precision_Test,Recall_Test,F1-Score_Test,CV_Mean,CV_Std
Kfold CV model baseline random oversampling,Random Forest,0.9963627081870972,0.9963805740654984,0.9963863729957328,0.9963824997019796,0.9946557449680916,0.0005816934967195
Kfold CV model baseline random oversampling,KNN,0.977346691340693,0.9774443723811264,0.977380766519085,0.9773695247857658,0.9702795551587212,0.0018538275047969
Kfold CV model baseline random oversampling,Naive Bayes,0.3998468508710356,0.404024678220841,0.3996823796073508,0.3762680932022326,0.4011070206025519,0.0046655891158406
Kfold CV model baseline random oversampling,Decision Tree,0.9932997256078108,0.9933077433214176,0.9933468629656416,0.9933228349771674,0.9890243131765836,0.0011287011533802
Kfold CV model baseline random oversampling,Extra Trees,0.9965541445983026,0.9965653989124136,0.9965727273881444,0.9965682155674608,0.9951343309063628,0.000384119856055
Kfold CV model normalisasi random oversampling,Random Forest,0.9964265203241656,0.996446161289167,0.9964481026537516,0.9964458995862024,0.9947514603741656,0.0006603911434483
Kfold CV model normalisasi random oversampling,KNN,0.9742837087614064,0.9744254511339928,0.9743375346892856,0.9743148912128524,0.964504553439496,0.0018200307560494
Kfold CV model normalisasi random oversampling,Naive Bayes,0.3998468508710356,0.404024678220841,0.3996823796073508,0.3762680932022326,0.4011070206025519,0.0046655891158406
Kfold CV model normalisasi random oversampling,Decision Tree,0.9933635377448792,0.993371274087532,0.9934150607834746,0.9933883026659164,0.9890881242956712,0.0011748897214691
Kfold CV model normalisasi random oversampling,Extra Trees,0.9965541445983026,0.9965661766680012,0.9965727273881444,0.9965684548895556,0.9950545695526184,0.0004758250431526
Kfold CV model pca 7 random oversampling,Random Forest,0.989407185246634,0.98944890174042,0.9895055749257368,0.98945182255709,0.9837917403286528,0.0014795130369853
Kfold CV model pca 7 random oversampling,KNN,0.9648395124752728,0.9650210528507563,0.9649454075465502,0.9648622196005618,0.9524440495953292,0.0014409039242215
Kfold CV model pca 7 random oversampling,Naive Bayes,0.4488545721396209,0.4402267066446829,0.4496466889859798,0.4370648638417718,0.4542785530961093,0.0045985384416349
Kfold CV model pca 7 random oversampling,Decision Tree,0.9764533214217344,0.9764635113124988,0.9766671156184024,0.976466838128264,0.9656850235110074,0.0008432271952225
Kfold CV model pca 7 random oversampling,Extra Trees,0.9908110522621404,0.9908763801857556,0.9908542726256392,0.9908616789740928,0.986184703106501,0.0013677705554232
Kfold CV model pca 6 random oversampling,Random Forest,0.990236743028524,0.990273480355771,0.9903122511242244,0.9902849040427466,0.9836481449497873,0.0013488695257734
Kfold CV model pca 6 random oversampling,KNN,0.9670091251356008,0.9671659401640972,0.9671011491652932,0.967021465611152,0.9549805313985982,0.0008347582441988
Kfold CV model pca 6 random oversampling,Naive Bayes,0.4494926935103057,0.4399366663373081,0.4503054310220965,0.4353735267086371,0.4585698826686791,0.0062184783843907
Kfold CV model pca 6 random oversampling,Decision Tree,0.9792610554527472,0.979278660849446,0.9794539012123028,0.9792865749387436,0.965988145415034,0.0006677778072126
Kfold CV model pca 6 random oversampling,Extra Trees,0.9915767979069618,0.991616377510417,0.9916185538447192,0.991615314848294,0.9860730120146218,0.001232073357544
Kfold CV model pca 5 random oversampling,Random Forest,0.9860889541190735,0.9861179603004183,0.9862092276909795,0.98613295229446,0.9765809413453346,0.0013561559104800782
Kfold CV model pca 5 random oversampling,KNN,0.9541190734477698,0.954326651032521,0.9543244190530278,0.9541275214886898,0.9406865938468592,0.0012849488852879304
Kfold CV model pca 5 random oversampling,Naive Bayes,0.41171590836577115,0.4059300181838811,0.4121404896629258,0.39902221061398907,0.41706009688030515,0.005172066891565945
Kfold CV model pca 5 random oversampling,Decision Tree,0.9712207261821199,0.9712704615278798,0.9715020996347944,0.9711553638435205,0.9601333772518348,0.0014062848060683248
Kfold CV model pca 5 random oversampling,Extra Trees,0.9883223789164699,0.9883743556265919,0.9883969394352954,0.9883782842843966,0.9808404073527554,0.0008093222169558772
