Percobaan,Model,Accuracy_Test,Precision_Test,Recall_Test,F1-Score_Test,CV_Mean,CV_Std
Kfold CV model baseline Smote,Random Forest,0.9946397804862483,0.994653191988595,0.9946575489316372,0.9946548485620736,0.9926616131375572,0.0004367466584993
Kfold CV model baseline Smote,KNN,0.9813668559760066,0.9814116602865636,0.9814564610488804,0.9813870209966392,0.97568761494693,0.0013580744811352
Kfold CV model baseline Smote,Naive Bayes,0.4017612149830898,0.4051697673295292,0.4017528027878853,0.3779668881760522,0.404138195103311,0.0034905529018189
Kfold CV model baseline Smote,Decision Tree,0.9837917171846086,0.983794420096354,0.9838767780313152,0.9838259959095852,0.9803299438512036,0.0012582668037207
Kfold CV model baseline Smote,Extra Trees,0.9952140897198648,0.9952161365714304,0.9952319305340188,0.9952225821332832,0.9934114116026388,0.0006022767314167
Kfold CV model normalisasi SMote,Random Forest,0.9950226533086594,0.9950308186388346,0.9950368229873716,0.9950332944297088,0.9926137573433562,0.0005741592636892
Kfold CV model normalisasi SMote,KNN,0.9772828792036246,0.9773366898778482,0.9774002129448714,0.9773115741915988,0.9706464449148834,0.0016201248344845
Kfold CV model normalisasi SMote,Naive Bayes,0.4017612149830898,0.4051697673295292,0.4017528027878853,0.3779668881760522,0.404138195103311,0.0034905529018189
Kfold CV model normalisasi SMote,Decision Tree,0.9837917171846086,0.9837946136500466,0.9838760464617764,0.98382652584236,0.9802820842393306,0.0012570575641951
Kfold CV model normalisasi SMote,Extra Trees,0.9950226533086594,0.9950263806043076,0.9950402150903508,0.9950322621053654,0.9933316489763367,0.0006645325128154
Kfold CV model pca 7 Smote,Random Forest,0.9813668559760066,0.9813906284213424,0.9814476496423212,0.9814100983278148,0.9773945700178652,0.0007245283930995
Kfold CV model pca 7 Smote,KNN,0.9684768042881756,0.9685609087725622,0.9686660105864686,0.9684991144480876,0.959463371954433,0.0016711857238436
Kfold CV model pca 7 Smote,Naive Bayes,0.456320592176632,0.4488900211055521,0.4572318830206159,0.4449040015400551,0.4565598222369635,0.003128146338439
Kfold CV model pca 7 Smote,Decision Tree,0.9546295705443176,0.9546272602329752,0.9547987629921836,0.9546859363874868,0.941564047636609,0.0013404585190677
Kfold CV model pca 7 Smote,Extra Trees,0.985897517707868,0.9859114458291564,0.9859562425912902,0.9859249803002984,0.981669979897156,0.0010715454385134
Kfold CV model pca 6 smote,Random Forest,0.9821964137578968,0.9822238437991662,0.9822757420911052,0.9822373432510344,0.9764533280150614,0.0002215077824204
Kfold CV model pca 6 smote,KNN,0.9689873013847232,0.9690687389261272,0.9691596324073296,0.9690133218976532,0.9624146463926893,0.0011320231905366
Kfold CV model pca 6 smote,Naive Bayes,0.4524918639525238,0.4436200113839681,0.4534788997973864,0.4383375551308949,0.454485940505701,0.0043977685346331
Kfold CV model pca 6 smote,Decision Tree,0.9560334375598238,0.956082576671278,0.956169633009076,0.956103780796482,0.9444355607211208,0.0011825885744335
Kfold CV model pca 6 smote,Extra Trees,0.9859613298449365,0.9859873988802365,0.986027314673256,0.9860029109571268,0.982084743263323,0.0008080825544917
Kfold CV model pca 5 Smote,Random Forest,0.9725607810605578,0.9725937423827263,0.9726976384702258,0.9726321812232639,0.9652861722027751,0.001188582920179797
Kfold CV model pca 5 Smote,KNN,0.958904983727905,0.9590558030702849,0.9591624281532125,0.9589042333979428,0.9489821894900092,0.0008706753308008181
Kfold CV model pca 5 Smote,Naive Bayes,0.4168208793312488,0.40968397925806793,0.41738890915876314,0.40405183035491044,0.4212238258481761,0.003681476631754613
Kfold CV model pca 5 Smote,Decision Tree,0.9441005679280199,0.9441033172028772,0.9443358600811413,0.9441802353926395,0.93211986839313,0.001648226043845645
Kfold CV model pca 5 Smote,Extra Trees,0.9798991768234319,0.9799450518577908,0.9799801469450667,0.9799590006904516,0.9736934271238692,0.0010603723052602652
