Percobaan,Model,Accuracy_Test,Precision_Test,Recall_Test,F1-Score_Test,CV_Mean,CV_Std
Kfold CV model baseline undersampling,Random Forest,0.9727905505167688,0.972799551708558,0.9728039163358474,0.9727712378154472,0.9675701881436044,0.0025985940541766
Kfold CV model baseline undersampling,KNN,0.928707023834634,0.929266957590366,0.928788607445578,0.9286531107221194,0.910514663921214,0.0049592114609143
Kfold CV model baseline undersampling,Naive Bayes,0.4016030373338958,0.4052525884136238,0.4020523838532961,0.3792635268171234,0.3994404388052163,0.0081208918886906
Kfold CV model baseline undersampling,Decision Tree,0.9495886943682768,0.9497015864386356,0.9497070852423196,0.9496470471459968,0.936933082927578,0.0029246385024039
Kfold CV model baseline undersampling,Extra Trees,0.9751107361316178,0.9751028639785332,0.9750992701467354,0.975086938229932,0.9702593245830372,0.002488113958304
Kfold CV model normalisasi undersamplingg,Random Forest,0.9727905505167688,0.9728127565672536,0.972804305600076,0.9727673480988634,0.967464702911537,0.0025316581442237
Kfold CV model normalisasi undersamplingg,KNN,0.9181607255853196,0.9185505014565448,0.9182944697136486,0.9181301841425172,0.8993881550624568,0.0045260335796472
Kfold CV model normalisasi undersamplingg,Naive Bayes,0.4016030373338958,0.4052525884136238,0.4020523838532961,0.3792635268171234,0.3994404388052163,0.0081208918886906
Kfold CV model normalisasi undersamplingg,Decision Tree,0.9495886943682768,0.949711331262786,0.9497025926818962,0.9496469278219716,0.9371440812022148,0.0026757629014416
Kfold CV model normalisasi undersamplingg,Extra Trees,0.9742670322716728,0.9742576304106696,0.9742601564807092,0.9742411771436332,0.9703648098151044,0.0021340965458847
Kfold CV model pca 7 undersampling,Random Forest,0.9215355410251002,0.9215491983735538,0.9216582935994202,0.9215320832000224,0.9087742966446074,0.007959295533135
Kfold CV model pca 7 undersampling,KNN,0.8953807213668002,0.8960428148762869,0.8956084895729832,0.8953166401239075,0.872653349886144,0.0061467095847771
Kfold CV model pca 7 undersampling,Naive Bayes,0.4480067496308795,0.4387646223296902,0.4486432646655515,0.436196805559544,0.4494297734779034,0.0087166165227432
Kfold CV model pca 7 undersampling,Decision Tree,0.8662729381986922,0.8661554402152006,0.8666126891915067,0.8661289791561438,0.8424902885728873,0.009436544470827
Kfold CV model pca 7 undersampling,Extra Trees,0.9325036912043873,0.9324844608144623,0.93258195780759,0.9324648346909916,0.920955059898258,0.0080661597155381
Kfold CV model pca 6 undersampling,Random Forest,0.9234338747099768,0.923436478428953,0.9234914563270492,0.9233867667082036,0.9092489662836606,0.0061317808540036
Kfold CV model pca 6 undersampling,KNN,0.898122758911622,0.8987815164496574,0.8982922230799175,0.8979239926069015,0.8786121947936516,0.0059324825963347
Kfold CV model pca 6 undersampling,Naive Bayes,0.4486395275258384,0.4399385227352846,0.4493680492002228,0.4361088732742632,0.4495353282362246,0.0069172182151374
Kfold CV model pca 6 undersampling,Decision Tree,0.8702805315334318,0.8702094394822553,0.8706534752547135,0.8701808540135145,0.8415941646893399,0.0048142528956155
Kfold CV model pca 6 undersampling,Extra Trees,0.9344020248892638,0.9344171506895806,0.9344262082330592,0.9343683383295616,0.922642628937828,0.0056106434410839
Kfold CV model pca 5 undersampling,Random Forest,0.8974899810166631,0.8974909266561364,0.8977036216670731,0.8973681945062078,0.8859415551187453,0.005305848591892714
Kfold CV model pca 5 undersampling,KNN,0.8744990508331576,0.8750450193850623,0.8747867203630456,0.8742019557671032,0.8519300905176204,0.0032732357087450086
Kfold CV model pca 5 undersampling,Naive Bayes,0.4241721155874288,0.4205728521853823,0.4251532409843838,0.41262739546980615,0.4152067822026139,0.009348581700297265
Kfold CV model pca 5 undersampling,Decision Tree,0.836321451170639,0.8360031161556657,0.8368316571956591,0.8360029814809486,0.8172850192615533,0.005382318461943325
Kfold CV model pca 5 undersampling,Extra Trees,0.9105673908458132,0.9105673555549163,0.9107742756397131,0.9104751437115022,0.8995990420950875,0.005737221775683877
