Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble random oversampling,Bagging,0.9825200291332848,0.9807553186688416,0.9792254510867788,0.9799731504594276
Baseline Performa Ensemble random oversampling,AdaBoost,0.4647972808934207,0.4682662266951378,0.4903833953860286,0.4509649105707828
Baseline Performa Ensemble random oversampling,GradientBoosting,0.7700898276280651,0.7452173260646323,0.7916130437709139,0.7594906163220709
Baseline Performa Ensemble random oversampling,Voting (RF+ET+KNN),0.984340859431901,0.9813724873462252,0.9819438963078388,0.9816553639443236
Baseline Performa Ensemble random oversampling,Stacking (RF+ET+KNN),0.984947802864773,0.985673444670316,0.9797439601784974,0.9826429338878347
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT),0.9853119689244962,0.9835859810899836,0.9825379553313358,0.9830525196960226
Baseline Performa Ensemble random oversampling,Stacking (RF+ET+Dt),0.9850691915513474,0.9856502766802906,0.9796763251326024,0.9825937364237974
Baseline Normalization Performa Ensemble random oversampling,Bagging,0.981670308327264,0.9801509485001716,0.978258676542802,0.979185502172948
Baseline Normalization Performa Ensemble random oversampling,AdaBoost,0.4647972808934207,0.4682662266951378,0.4903833953860286,0.4509649105707828
Baseline Normalization Performa Ensemble random oversampling,GradientBoosting,0.7700898276280651,0.7452173260646323,0.7916130437709139,0.7594906163220709
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+KNN),0.9832483612527312,0.9802665659654626,0.9807023350904098,0.9804824247279388
Baseline Normalization Performa Ensemble random oversampling,Stacking (RF+ET+KNN),0.984340859431901,0.9853747358246416,0.9789715999906538,0.9821054463942026
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT),0.9840980820587522,0.982255063735544,0.9808295153977412,0.9815266563409
Baseline Normalization Performa Ensemble random oversampling,Stacking (RF+ET+Dt),0.984340859431901,0.9848456838637878,0.9789444089114628,0.981829009748898
PCA 7 Performa Ensemble random oversampling,Bagging,0.9513231366836612,0.9464273893736296,0.9443658224594776,0.945386214867868
PCA 7 Performa Ensemble random oversampling,AdaBoost,0.4198834668608885,0.4227758583070525,0.4396018788091649,0.4120036386720466
PCA 7 Performa Ensemble random oversampling,GradientBoosting,0.6477300315610585,0.6252097664916798,0.6587691524199304,0.6316631889880575
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+KNN),0.9590920126244236,0.9520256613821076,0.9548132656892064,0.9534069482596534
PCA 7 Performa Ensemble random oversampling,Stacking (RF+ET+KNN),0.952172857489682,0.9583822375503488,0.9365809539793531,0.9467065526262156
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT),0.9396698227725176,0.9354517200475496,0.931098111507447,0.9331920403479256
PCA 7 Performa Ensemble random oversampling,Stacking (RF+ET+Dt),0.9505948045642146,0.9573346926425972,0.9339916003592494,0.9448201168845808
PCA 6 Performa Ensemble random oversampling,Bagging,0.9531439669822772,0.9479445918858715,0.9458574466489728,0.9468809793945284
PCA 6 Performa Ensemble random oversampling,AdaBoost,0.4150279193979121,0.4114038046431392,0.4364925845767389,0.4073508930178406
PCA 6 Performa Ensemble random oversampling,GradientBoosting,0.6343772760378733,0.615788411904745,0.6464569770167916,0.6199472993875107
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+KNN),0.9617625637290604,0.954370211758337,0.9573484649378894,0.9558288668388616
PCA 6 Performa Ensemble random oversampling,Stacking (RF+ET+KNN),0.9537509104151491,0.960037940779175,0.937515929003952,0.9479821543696076
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT),0.9419762078174314,0.9364120588614666,0.9323425729664748,0.934285041352185
PCA 6 Performa Ensemble random oversampling,Stacking (RF+ET+Dt),0.950109249817917,0.9587800152090256,0.931877346993312,0.9442237796753108
PCA 5 Performa Ensemble Random Oversampling,Bagging,0.937727603787327,0.9295519899325912,0.9308646527960207,0.9301852881443405
PCA 5 Performa Ensemble Random Oversampling,AdaBoost,0.40349599417334303,0.4059744009914404,0.41827942958143216,0.39564898936756615
PCA 5 Performa Ensemble Random Oversampling,GradientBoosting,0.6008739985433358,0.5874523976373295,0.6172206149048252,0.5896516082529797
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+KNN),0.950716193250789,0.9435238038824083,0.9460778761825352,0.9447898334836496
PCA 5 Performa Ensemble Random Oversampling,Stacking (RF+ET+KNN),0.9399126001456665,0.9517862272994011,0.9187931617127252,0.9336574657663064
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT),0.9255887351298859,0.9174991181801566,0.9158526336598447,0.9166347396988692
PCA 5 Performa Ensemble Random Oversampling,Stacking (RF+ET+Dt),0.9380917698470502,0.9500325135872805,0.9159637409584207,0.9312272390128428
