Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble smote,Bagging,0.9814275309541152,0.9789244427986636,0.978466280281662,0.9786867229869192
Baseline Performa Ensemble smote,AdaBoost,0.4497450837581937,0.4432496536889987,0.4715391912109939,0.4348978631786594
Baseline Performa Ensemble smote,GradientBoosting,0.7703326050012139,0.7450654214259749,0.7891747247651949,0.7587019627715844
Baseline Performa Ensemble smote,Voting (RF+ET+KNN),0.9837339159990288,0.9805165201026156,0.9810826506463608,0.9807979506821348
Baseline Performa Ensemble smote,Stacking (RF+ET+KNN),0.9842194707453266,0.9823079697148868,0.9806764308110234,0.9814820629859248
Baseline Performa Ensemble smote,Voting (RF+ET+DT),0.98349113862588,0.9802164388643462,0.979924984683076,0.9800584600206654
Baseline Performa Ensemble smote,Stacking (RF+ET+DT),0.9840980820587522,0.9814527612270842,0.9804735124936622,0.9809557488650332
Baseline Normalization Performa Ensemble SMOTE,Bagging,0.9814275309541152,0.9791272508642612,0.978439089202471,0.9787704754514358
Baseline Normalization Performa Ensemble SMOTE,AdaBoost,0.4497450837581937,0.4432496536889987,0.4715391912109939,0.4348978631786594
Baseline Normalization Performa Ensemble SMOTE,GradientBoosting,0.7696042728817675,0.7442146724220164,0.7884034862673663,0.7578869759562247
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9831269725661568,0.9796539394627676,0.980357993179199,0.9800038991698716
Baseline Normalization Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9840980820587522,0.9818224892590576,0.9809093043127473,0.9813559784691254
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT),0.9833697499393056,0.980521380400906,0.9801578581847998,0.9803340568020136
Baseline Normalization Performa Ensemble SMOTE,Stacking (RF+ET+DT),0.9837339159990288,0.98192800049593,0.9802152819282116,0.9810625807209205
PCA 8 Performa Ensemble SMOTE,Bagging,0.9620053411022093,0.95684665411928,0.9562871796534992,0.9565652350558542
PCA 8 Performa Ensemble SMOTE,AdaBoost,0.4354212187424132,0.4385025228203323,0.4555964765265451,0.4277179486154015
PCA 8 Performa Ensemble SMOTE,GradientBoosting,0.6653313911143481,0.6427756796875201,0.6796675438068129,0.65150396123607
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9649186695799952,0.9578197498556416,0.961418125548676,0.9595922900325438
PCA 8 Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9679533867443554,0.9663802689644956,0.9607531477944298,0.9634925927369944
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT),0.954843408594319,0.948103165651025,0.9493423898772824,0.9487116328925408
PCA 8 Performa Ensemble SMOTE,Stacking (RF+ET+DT),0.9658897790725904,0.964483943262965,0.9589432491308214,0.9616425729371229
PCA 7 Performa Ensemble SMOTE,Bagging,0.9530225782957028,0.9460950534469912,0.9474555002226188,0.946768603108022
PCA 7 Performa Ensemble SMOTE,AdaBoost,0.4193979121145909,0.4167466065381049,0.4319336234203805,0.4103819340530794
PCA 7 Performa Ensemble SMOTE,GradientBoosting,0.6471230881281864,0.6242547267776927,0.6571656781938051,0.6303376208073289
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9601845108035932,0.952004730721602,0.9564972116901724,0.9542171202603786
PCA 7 Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9603058994901676,0.9578456356451976,0.9518129740199988,0.954742754032619
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT),0.9448895362952172,0.9379823397149538,0.9379699947789528,0.9379606109917514
PCA 7 Performa Ensemble SMOTE,Stacking (RF+ET+DT),0.9594561786841468,0.9573655566831164,0.9515534069618464,0.9543908284709552
PCA 6 Performa Ensemble SMOTE,Bagging,0.9546006312211702,0.9468099889866872,0.9492803487954444,0.948022750740564
PCA 6 Performa Ensemble SMOTE,AdaBoost,0.4197620781743141,0.4233126663427836,0.4486681697332897,0.4108613865108287
PCA 6 Performa Ensemble SMOTE,GradientBoosting,0.6369264384559359,0.6170395154169557,0.6486898569677019,0.622282198036808
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9626122845350812,0.95466466323965,0.9593831361208836,0.9569812314774592
PCA 6 Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9609128429230396,0.9570739191674906,0.9535107195636524,0.9552405886492712
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT),0.9428259286234524,0.9337833120129778,0.9367818302642692,0.9352609553415024
PCA 6 Performa Ensemble SMOTE,Stacking (RF+ET+DT),0.9594561786841468,0.9554024308595932,0.951435363978083,0.9533651417132172
PCA 5 Performa Ensemble SMOTE,Bagging,0.9367564942947317,0.9281916949132405,0.9315573740766114,0.9298441518135654
PCA 5 Performa Ensemble SMOTE,AdaBoost,0.3911143481427531,0.41628539683595084,0.4234606237110177,0.3916114388990751
PCA 5 Performa Ensemble SMOTE,GradientBoosting,0.6023306627822287,0.5896540204392905,0.6206732252011898,0.5921118349445381
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+KNN),0.9510803593105123,0.9426012070756016,0.947492172746002,0.9450083990942584
PCA 5 Performa Ensemble SMOTE,Stacking (RF+ET+KNN),0.9532653556688516,0.9509800498213254,0.9442960193299161,0.9475440444068294
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT),0.9280165088613741,0.9169465805766327,0.9215153975918311,0.919182779593932
PCA 5 Performa Ensemble SMOTE,Stacking (RF+ET+DT),0.9491381403253217,0.9476386839817085,0.9400579729872323,0.9437491026848551
