Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Normalization Performa Ensemble Imbalance,AdaBoost,0.4832483612527312,0.3783586099967141,0.3619857088142662,0.3373978529553924
Baseline Normalization Performa Ensemble Imbalance,GradientBoosting,0.8418305413935421,0.8483273519143368,0.8026028691616295,0.8221992703747769
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.98349113862588,0.981787620530327,0.9800295612291507,0.9808766411120254
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9854333576110706,0.9844531313909756,0.9816334684432558,0.983017207456296
Baseline Normalization Performa Ensemble Imbalance,XGBoost,0.9237679048312696,0.9293107079213844,0.9033610889044612,0.9152524682096328
Baseline Normalization Performa Ensemble Imbalance,LightGBM,0.9571497936392328,0.9561538160977476,0.9455310982530892,0.9505783218285846
Baseline Normalization Performa Ensemble Imbalance,CatBoost,0.8120903131828113,0.8288355628417412,0.7542756079043162,0.782495889584131
PCA 8 Performa Ensemble Imbalance,AdaBoost,0.4764505948045642,0.488325169173134,0.3262074108587348,0.3180408769870665
PCA 8 Performa Ensemble Imbalance,GradientBoosting,0.7282107307598932,0.7489600668292073,0.6623497000454256,0.6916498115335887
PCA 8 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9493809176984706,0.9437240778010988,0.9379939467054368,0.9407852431649412
PCA 8 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9632192279679532,0.961701828585692,0.9528697898333094,0.957138887244768
PCA 8 Performa Ensemble Imbalance,XGBoost,0.8177955814518086,0.8390267771527347,0.7725981044817954,0.798402452199696
PCA 8 Performa Ensemble Imbalance,LightGBM,0.883102694828842,0.8851310019867741,0.8535189827558346,0.8675213416965815
PCA 8 Performa Ensemble Imbalance,CatBoost,0.7157076960427288,0.7511611469106741,0.6369197159434408,0.6709437108983578
PCA 7 Performa Ensemble Imbalance,AdaBoost,0.4598203447438698,0.4499907211361029,0.3174447907921602,0.3034315851224228
PCA 7 Performa Ensemble Imbalance,GradientBoosting,0.7157076960427288,0.73760668933083,0.6420230605260124,0.6730691691293725
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.936270939548434,0.9293120499392946,0.9229787377555816,0.9260807122611224
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9572711823258072,0.9556893736194688,0.9463593104044832,0.95083179544136
PCA 7 Performa Ensemble Imbalance,XGBoost,0.7923039572711823,0.8139982650541523,0.7381416437825818,0.7668668662249603
PCA 7 Performa Ensemble Imbalance,LightGBM,0.8566399611556202,0.8650310158306553,0.8201270042553037,0.8393289350557229
PCA 7 Performa Ensemble Imbalance,CatBoost,0.701019664967225,0.7463997172132941,0.6137972364607184,0.6492233013732661
PCA 6 Performa Ensemble Imbalance,AdaBoost,0.4529011896091284,0.4136833697184386,0.3022389341437025,0.2749476148304676
PCA 6 Performa Ensemble Imbalance,GradientBoosting,0.6959213401310997,0.7221614959238306,0.6268491885259876,0.6568760852886614
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9407623209516872,0.9350394858309804,0.929470201481578,0.9321325533942566
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9567856275795096,0.954909041390912,0.945913188629113,0.9502471943717508
PCA 6 Performa Ensemble Imbalance,XGBoost,0.7725176013595533,0.8030417644846146,0.7177569956931316,0.7480349497271435
PCA 6 Performa Ensemble Imbalance,LightGBM,0.8538480213644088,0.8624028623840692,0.8191763965792698,0.8377464036807385
PCA 6 Performa Ensemble Imbalance,CatBoost,0.6922796795338675,0.7368526762399324,0.6115334904364921,0.6462695065168754
PCA 5 Performa Ensemble Imbalance,AdaBoost,0.4547220199077446,0.41965661119038106,0.29324066856412456,0.2701529030289784
PCA 5 Performa Ensemble Imbalance,GradientBoosting,0.6726147123088129,0.6917912198131682,0.600680982947126,0.6271721449979063
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9235251274581209,0.914696439573062,0.9118606964274651,0.9132618856074954
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9427045399368779,0.9393855485500511,0.9291817123657877,0.9340882091899886
PCA 5 Performa Ensemble Imbalance,XGBoost,0.7456907016266084,0.7683285331907536,0.6870115098635162,0.7143906216526876
PCA 5 Performa Ensemble Imbalance,LightGBM,0.809905316824472,0.8148688352795246,0.7687110122224847,0.7877065654512017
PCA 5 Performa Ensemble Imbalance,CatBoost,0.6638747268754552,0.6964428630593892,0.5805409152028066,0.6102326305429339
