Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble random oversampling,AdaBoost,0.4647972808934207,0.4682662266951378,0.4903833953860286,0.4509649105707828
Baseline Performa Ensemble random oversampling,GradientBoosting,0.8175528040786598,0.7903081341622487,0.82810846595433,0.8044614063190885
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9853119689244962,0.9835859810899836,0.9825379553313358,0.9830525196960226
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.986404467103666,0.9844652037752226,0.9834278612770287,0.9839332854274758
Baseline Performa Ensemble random oversampling,XGBoost,0.9151493080844866,0.8966759580991038,0.921150378880362,0.9074986233894716
Baseline Performa Ensemble random oversampling,LightGBM,0.9536295217285748,0.9431131390095124,0.9561960861938216,0.9493523436437068
Baseline Performa Ensemble random oversampling,CatBoost,0.7964311726147123,0.7697259966577005,0.8086407768280675,0.7813418804644813
Baseline Normalization Performa Ensemble random oversampling,AdaBoost,0.4647972808934207,0.4682662266951378,0.4903833953860286,0.4509649105707828
Baseline Normalization Performa Ensemble random oversampling,GradientBoosting,0.817310026705511,0.791241956972127,0.8300919631247929,0.8057404538259945
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9840980820587522,0.982255063735544,0.9808295153977412,0.9815266563409
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9855547462976452,0.9839874511474987,0.9824300090310594,0.983196982747076
Baseline Normalization Performa Ensemble random oversampling,XGBoost,0.9142995872784656,0.8963223044964869,0.9207949320901816,0.907138852819852
Baseline Normalization Performa Ensemble random oversampling,LightGBM,0.9554503520271912,0.944844142140776,0.9567317350927034,0.9505293785872894
Baseline Normalization Performa Ensemble random oversampling,CatBoost,0.7993445010924982,0.7736335197033929,0.8137239499674113,0.7850999014306751
PCA 8 Performa Ensemble random oversampling,AdaBoost,0.433600388443797,0.4246596904145736,0.4417987206500331,0.4217310732348807
PCA 8 Performa Ensemble random oversampling,GradientBoosting,0.6968924496236951,0.6727563124199868,0.7064695650756707,0.6824989391327954
PCA 8 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9503520271910658,0.946037738268639,0.940835323661696,0.9433665258680456
PCA 8 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9654042243262928,0.9626137601462964,0.9579824252609984,0.9602428237640768
PCA 8 Performa Ensemble random oversampling,XGBoost,0.7976450594804564,0.7722421002312283,0.8058768441363007,0.7848480091728367
PCA 8 Performa Ensemble random oversampling,LightGBM,0.8670793882010197,0.8458684870218305,0.8696243727709112,0.8560164707811634
PCA 8 Performa Ensemble random oversampling,CatBoost,0.7074532653556689,0.6847115024974779,0.7173855912618621,0.6930787105678976
PCA 7 Performa Ensemble random oversampling,AdaBoost,0.4198834668608885,0.4227758583070525,0.4396018788091649,0.4120036386720466
PCA 7 Performa Ensemble random oversampling,GradientBoosting,0.6658169458606458,0.6423104089749437,0.6762147349342615,0.6500604473131937
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9396698227725176,0.9354517200475496,0.931098111507447,0.9331920403479256
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9588492352512746,0.9561646589386724,0.9504928075421056,0.9532460557080208
PCA 7 Performa Ensemble random oversampling,XGBoost,0.7722748239864045,0.7477377420288198,0.7783582552944797,0.75867726293254
PCA 7 Performa Ensemble random oversampling,LightGBM,0.8349113862588007,0.8130110218429127,0.8386430547021446,0.8234374654636836
PCA 7 Performa Ensemble random oversampling,CatBoost,0.6824471959213402,0.6612727731617911,0.6906205333871086,0.667367262969478
PCA 6 Performa Ensemble random oversampling,AdaBoost,0.4150279193979121,0.4114038046431392,0.4364925845767389,0.4073508930178406
PCA 6 Performa Ensemble random oversampling,GradientBoosting,0.6619325078902646,0.6396183414318799,0.6700562151334845,0.6461458570184471
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9419762078174314,0.9364120588614666,0.9323425729664748,0.934285041352185
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.958120903131828,0.9546095539775104,0.9497522454523284,0.95212890896592
PCA 6 Performa Ensemble random oversampling,XGBoost,0.7562515173585822,0.7371835703263488,0.7656436827547293,0.7453078868371629
PCA 6 Performa Ensemble random oversampling,LightGBM,0.8267783442583151,0.8050965779165823,0.8329962490789841,0.8162135094214413
PCA 6 Performa Ensemble random oversampling,CatBoost,0.6693372177713037,0.650169466410382,0.6825371824731197,0.656671798018345
PCA 5 Performa Ensemble Random Oversampling,AdaBoost,0.40349599417334303,0.4059744009914404,0.41827942958143216,0.39564898936756615
PCA 5 Performa Ensemble Random Oversampling,GradientBoosting,0.6255159019179413,0.610170244668395,0.6412358650221817,0.61506620922672
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT) soft,0.9255887351298859,0.9174991181801566,0.9158526336598447,0.9166347396988692
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT) hard,0.9441612041757708,0.9400043341451069,0.9341268622409554,0.9369634795609088
PCA 5 Performa Ensemble Random Oversampling,XGBoost,0.7256615683418305,0.7065528815858022,0.7359171787226713,0.7139440479296241
PCA 5 Performa Ensemble Random Oversampling,LightGBM,0.7880553532410779,0.7663823449972764,0.7965357963491755,0.777470679265383
PCA 5 Performa Ensemble Random Oversampling,CatBoost,0.6347414420975965,0.6188505774754122,0.656561681610965,0.6242157636814045
