Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble smote,AdaBoost,0.4497450837581937,0.4432496536889987,0.4715391912109939,0.4348978631786594
Baseline Performa Ensemble smote,GradientBoosting,0.8201019664967225,0.7932725823616451,0.8300802471988096,0.8074246084130845
Baseline Performa Ensemble smote,Voting (RF+ET+DT) soft,0.98349113862588,0.9802164388643462,0.979924984683076,0.9800584600206654
Baseline Performa Ensemble smote,Voting (RF+ET+DT) hard,0.9844622481184754,0.9820964426391604,0.981233126214994,0.9816600314978314
Baseline Performa Ensemble smote,XGBoost,0.913207089099296,0.8951057321770757,0.917620871572836,0.9051014688359964
Baseline Performa Ensemble smote,LightGBM,0.9547220199077446,0.9449700596456624,0.9537691109626844,0.9491673774800972
Baseline Performa Ensemble smote,CatBoost,0.7967953386744355,0.7705069866454736,0.8103315200427035,0.7828318347657766
Baseline Normalization Performa Ensemble SMOTE,AdaBoost,0.4497450837581937,0.4432496536889987,0.4715391912109939,0.4348978631786594
Baseline Normalization Performa Ensemble SMOTE,GradientBoosting,0.8147608642874484,0.787480039748796,0.8248596360116803,0.8015432659403647
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9833697499393056,0.980521380400906,0.9801578581847998,0.9803340568020136
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.984340859431901,0.9818254852241796,0.9813261680175128,0.9815732294590352
Baseline Normalization Performa Ensemble SMOTE,XGBoost,0.9104151493080844,0.8918052582403645,0.9138238777727063,0.901685700722788
Baseline Normalization Performa Ensemble SMOTE,LightGBM,0.9547220199077446,0.9441584684870804,0.9556271044755472,0.9496372803173092
Baseline Normalization Performa Ensemble SMOTE,CatBoost,0.7949745083758194,0.7690474486415713,0.8101506237315981,0.7814827338071829
PCA 8 Performa Ensemble SMOTE,AdaBoost,0.4354212187424132,0.4385025228203323,0.4555964765265451,0.4277179486154015
PCA 8 Performa Ensemble SMOTE,GradientBoosting,0.7027191065792668,0.677604622001305,0.7127170390024359,0.6880141015549347
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.954843408594319,0.948103165651025,0.9493423898772824,0.9487116328925408
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9675892206846322,0.9634421403428558,0.9613892681602998,0.962402075638082
PCA 8 Performa Ensemble SMOTE,XGBoost,0.7987375576596262,0.7727765379291265,0.8038767121583641,0.7842166304686644
PCA 8 Performa Ensemble SMOTE,LightGBM,0.8648943918426802,0.8449076830597543,0.8660344027996661,0.8537592341866833
PCA 8 Performa Ensemble SMOTE,CatBoost,0.7074532653556689,0.6833511011191546,0.7169323882743014,0.6920942731338564
PCA 7 Performa Ensemble SMOTE,AdaBoost,0.4193979121145909,0.4167466065381049,0.4319336234203805,0.4103819340530794
PCA 7 Performa Ensemble SMOTE,GradientBoosting,0.673828599174557,0.6478170501595181,0.680813291419304,0.6561219581007464
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9448895362952172,0.9379823397149538,0.9379699947789528,0.9379606109917514
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9582422918184024,0.953651963703593,0.9514150599259882,0.9524974945941812
PCA 7 Performa Ensemble SMOTE,XGBoost,0.7703326050012139,0.7453756731805866,0.7772628453136718,0.7563236416611356
PCA 7 Performa Ensemble SMOTE,LightGBM,0.8428016508861375,0.8213255467897375,0.8440278987163913,0.8307230880183182
PCA 7 Performa Ensemble SMOTE,CatBoost,0.6829327506676378,0.6606693531079704,0.6906440299745715,0.6666518396568488
PCA 6 Performa Ensemble SMOTE,AdaBoost,0.4197620781743141,0.4233126663427836,0.4486681697332897,0.4108613865108287
PCA 6 Performa Ensemble SMOTE,GradientBoosting,0.65877640203933,0.6359721340306875,0.6683295150387721,0.6434925659125063
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9428259286234524,0.9337833120129778,0.9367818302642692,0.9352609553415024
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9587278465647,0.9533599426980044,0.9522577511818257,0.9527915721195416
PCA 6 Performa Ensemble SMOTE,XGBoost,0.7572226268511775,0.737826798941134,0.7659367477123448,0.7453953268743747
PCA 6 Performa Ensemble SMOTE,LightGBM,0.8279922311240593,0.806896151090489,0.8331055953085154,0.8178318180080483
PCA 6 Performa Ensemble SMOTE,CatBoost,0.6683661082787085,0.6508271832636161,0.6830066219025721,0.6559930443491465
PCA 5 Performa Ensemble SMOTE,AdaBoost,0.3911143481427531,0.41628539683595084,0.4234606237110177,0.3916114388990751
PCA 5 Performa Ensemble SMOTE,GradientBoosting,0.636076717649915,0.6198155525518845,0.6510701742335969,0.6251173976341351
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9280165088613741,0.9169465805766327,0.9215153975918311,0.919182779593932
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9451323136683661,0.9386210185979641,0.9384861370713585,0.9385314727708742
PCA 5 Performa Ensemble SMOTE,XGBoost,0.7267540665210003,0.7074209861271916,0.7379612590360611,0.7156467941449632
PCA 5 Performa Ensemble SMOTE,LightGBM,0.7927895120174799,0.7716291635230943,0.798159041155391,0.7816316372361705
PCA 5 Performa Ensemble SMOTE,CatBoost,0.6317067249332362,0.6167885376813527,0.6548136660487698,0.6217479753252887
