Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble adasyn,AdaBoost,0.405559601845108,0.3974659039937023,0.4138355658374276,0.3878230782356557
Baseline Performa Ensemble adasyn,GradientBoosting,0.8035931051226026,0.7792440720595478,0.8187466307687442,0.7929916765741993
Baseline Performa Ensemble adasyn,Voting (RF+ET+DT) soft,0.9844622481184754,0.981118362124539,0.9819307658130972,0.9815122510871912
Baseline Performa Ensemble adasyn,Voting (RF+ET+DT) hard,0.9865258557902404,0.9840390521405222,0.9843550268693712,0.984196353826286
Baseline Performa Ensemble adasyn,XGBoost,0.9041029376062152,0.8893754555770623,0.9223570342416192,0.9025667896540944
Baseline Performa Ensemble adasyn,LightGBM,0.9529011896091284,0.9432499724056164,0.9606067850707376,0.9508751779310776
Baseline Performa Ensemble adasyn,CatBoost,0.7794367564942948,0.7585502222439893,0.8034930206710303,0.7710822914155463
Baseline Normalization Performa Ensemble adasyn,AdaBoost,0.405559601845108,0.3974659039937023,0.4138355658374276,0.3878230782356557
Baseline Normalization Performa Ensemble adasyn,GradientBoosting,0.8017722748239864,0.7791987204892854,0.8181697528778354,0.7923871735455523
Baseline Normalization Performa Ensemble adasyn,Voting (RF+ET+DT) soft,0.9840980820587522,0.9804685998109623,0.981571833397208,0.980999307796355
Baseline Normalization Performa Ensemble adasyn,Voting (RF+ET+DT) hard,0.9854333576110706,0.9826913660738636,0.9829315291807011,0.9828091076433496
Baseline Normalization Performa Ensemble adasyn,XGBoost,0.9088370963826172,0.894582097455612,0.9274474847922464,0.9078485686718876
Baseline Normalization Performa Ensemble adasyn,LightGBM,0.9531439669822772,0.9432575346403048,0.9611828015154966,0.9511934839540576
Baseline Normalization Performa Ensemble adasyn,CatBoost,0.7891478514202477,0.766994718871063,0.8104349578187969,0.7802470278896667
PCA 8 Performa Ensemble adasyn,AdaBoost,0.4072590434571498,0.3663403964543996,0.3771643790688673,0.3627392841750318
PCA 8 Performa Ensemble adasyn,GradientBoosting,0.6700655498907502,0.6501196043421407,0.6883226580783419,0.6579374821907417
PCA 8 Performa Ensemble adasyn,Voting (RF+ET+DT) soft,0.9499878611313426,0.9401275533097496,0.945625597955236,0.942810201086276
PCA 8 Performa Ensemble adasyn,Voting (RF+ET+DT) hard,0.9658897790725904,0.9582394180932552,0.9611824878735468,0.9596861745314051
PCA 8 Performa Ensemble adasyn,XGBoost,0.7578295702840495,0.7368035051300736,0.7690151895673332,0.7456009899965389
PCA 8 Performa Ensemble adasyn,LightGBM,0.834425831512503,0.8122724274543414,0.842231803885632,0.8241085742373304
PCA 8 Performa Ensemble adasyn,CatBoost,0.6927652342801651,0.6697385867280934,0.6987237056018489,0.6756993246600473
PCA 7 Performa Ensemble adasyn,AdaBoost,0.4195193008011653,0.3845327749977217,0.4034422923951686,0.3821305031665475
PCA 7 Performa Ensemble adasyn,GradientBoosting,0.6144695314396699,0.5966693252631811,0.6305539226362591,0.6003697998231314
PCA 7 Performa Ensemble adasyn,Voting (RF+ET+DT) soft,0.941854819130857,0.932624206317938,0.937771321806006,0.935096666079166
PCA 7 Performa Ensemble adasyn,Voting (RF+ET+DT) hard,0.9576353483855304,0.9508465672299324,0.9522931052375996,0.9515205554616604
PCA 7 Performa Ensemble adasyn,XGBoost,0.7214129643117262,0.7023878455844017,0.733059130025602,0.7089169493753927
PCA 7 Performa Ensemble adasyn,LightGBM,0.8006797766448167,0.7773154566880833,0.8049434280356935,0.7876191601466461
PCA 7 Performa Ensemble adasyn,CatBoost,0.6530711337703327,0.6370640121495251,0.6622986234808815,0.6380689858853106
PCA 6 Performa Ensemble adasyn,AdaBoost,0.3983976693372177,0.3708051103347876,0.3855827886345013,0.3725981370922472
PCA 6 Performa Ensemble adasyn,GradientBoosting,0.6105850934692887,0.5934284643264458,0.6235830502317523,0.5965188589887074
PCA 6 Performa Ensemble adasyn,Voting (RF+ET+DT) soft,0.9343287205632436,0.9224787504556736,0.9297487352212418,0.9259563638968332
PCA 6 Performa Ensemble adasyn,Voting (RF+ET+DT) hard,0.9552075746540424,0.947771526583804,0.9510604673983856,0.9493575470354396
PCA 6 Performa Ensemble adasyn,XGBoost,0.702476329206118,0.6863060875537977,0.7103949291896537,0.6885946953886253
PCA 6 Performa Ensemble adasyn,LightGBM,0.7689973294488953,0.7449460613665352,0.7729244581487899,0.7547010033598263
PCA 6 Performa Ensemble adasyn,CatBoost,0.6273367322165574,0.6097719850060254,0.6348766208870396,0.6114906677935498
PCA 5 Performa Ensemble adasyn,AdaBoost,0.3973051711580481,0.3729735061519662,0.38974073838609347,0.3622893287079699
PCA 5 Performa Ensemble adasyn,GradientBoosting,0.5866715222141297,0.5668730219653224,0.5930406687835893,0.5688684538893043
PCA 5 Performa Ensemble adasyn,Voting (RF+ET+DT) soft,0.9221898519058024,0.9106836224570106,0.9181171563336086,0.9142744542750794
PCA 5 Performa Ensemble adasyn,Voting (RF+ET+DT) hard,0.9435542607428987,0.9349761112363565,0.9406456504335831,0.937733575784155
PCA 5 Performa Ensemble adasyn,XGBoost,0.6781985918912358,0.6642610417406893,0.6916926614046826,0.6677085259513035
PCA 5 Performa Ensemble adasyn,LightGBM,0.7465404224326293,0.7204558896304171,0.7489642888590285,0.7303051375413515
PCA 5 Performa Ensemble adasyn,CatBoost,0.5980820587521243,0.5794485561120478,0.6032349112483967,0.5806206695004623
