Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline smote,ANN,0.8497224172037522,0.8569476117315661,0.8503294367808779,0.8498994191496114
ANN Percobaan normalisasi Smote,ANN,0.883351413438836,0.8885587736946784,0.8838024577904868,0.8835997926851764
ANN Percobaan pca 7 Smote,ANN,0.8233680045944739,0.831942310153743,0.8240388927275404,0.823960522521037
ANN Percobaan pca 6 smote,ANN,0.8025014357730841,0.8100620145284413,0.8031258931474573,0.8026680393979866
ANN Percobaan pca 5 smote,ANN,0.7564290728096484,0.7665416343188018,0.7570923094335608,0.7562418892991086
ANN Percobaan baseline smote,ANN,0.8519058023792182,0.8294626571219503,0.8566322017449298,0.8380707488566662
ANN Percobaan normalisasi Smote,ANN,0.870721048798252,0.84946796480323,0.8688014639095633,0.8549820986708465
ANN Percobaan pca 7 Smote,ANN,0.7828356397183782,0.7698410988382641,0.7980325679093039,0.7720285422140947
ANN Percobaan pca 6 smote,ANN,0.7801650886137412,0.7675384761380369,0.7912298104061483,0.7680189040964628
ANN Percobaan pca 5 smote,ANN,0.722262685117747,0.703959207605046,0.7447619447438252,0.7129239650059713
