iter	Passed	Remaining
0	12	12762
1	21	10533
2	29	9809
3	37	9436
4	46	9161
5	54	9021
6	62	8916
7	71	8825
8	79	8739
9	87	8654
10	95	8595
11	103	8538
12	112	8521
13	120	8486
14	128	8458
15	137	8475
16	146	8450
17	154	8419
18	162	8402
19	171	8391
20	179	8363
21	187	8350
22	196	8333
23	204	8319
24	213	8307
25	221	8295
26	229	8280
27	238	8268
28	246	8254
29	254	8243
30	263	8233
31	271	8216
32	280	8207
33	288	8193
34	296	8179
35	304	8161
36	313	8150
37	321	8131
38	329	8117
39	337	8110
40	346	8098
41	354	8088
42	363	8081
43	371	8075
44	380	8067
45	388	8059
46	397	8067
47	406	8063
48	414	8053
49	423	8047
50	431	8036
51	440	8023
52	449	8025
53	457	8017
54	466	8011
55	474	8000
56	482	7986
57	491	7976
58	499	7963
59	507	7955
60	516	7948
61	524	7937
62	532	7923
63	541	7912
64	549	7905
65	557	7894
66	566	7882
67	574	7874
68	582	7861
69	591	7852
70	599	7843
71	607	7830
72	615	7821
73	624	7814
74	632	7804
75	641	7794
76	649	7784
77	657	7775
78	666	7764
79	674	7754
80	682	7742
81	690	7734
82	699	7724
83	707	7717
84	715	7706
85	724	7698
86	732	7690
87	741	7682
88	749	7675
89	758	7668
90	766	7658
91	775	7649
92	783	7639
93	791	7629
94	799	7619
95	808	7610
96	816	7601
97	824	7592
98	833	7581
99	841	7574
100	849	7563
101	858	7556
102	866	7547
103	875	7538
104	883	7529
105	891	7521
106	900	7513
107	909	7509
108	917	7502
109	926	7492
110	934	7483
111	942	7471
112	950	7464
113	959	7453
114	967	7444
115	976	7440
116	984	7432
117	993	7423
118	1001	7413
119	1009	7406
120	1018	7397
121	1026	7388
122	1034	7378
123	1043	7371
124	1051	7362
125	1060	7353
126	1068	7344
127	1077	7337
128	1085	7329
129	1093	7319
130	1105	7334
131	1113	7325
132	1122	7315
133	1130	7307
134	1138	7295
135	1147	7289
136	1155	7278
137	1163	7270
138	1172	7262
139	1180	7250
140	1188	7242
141	1197	7233
142	1205	7227
143	1214	7219
144	1223	7212
145	1231	7202
146	1239	7193
147	1247	7184
148	1256	7177
149	1265	7169
150	1273	7161
151	1281	7151
152	1290	7142
153	1299	7140
154	1318	7186
155	1327	7179
156	1337	7182
157	1346	7173
158	1354	7164
159	1362	7154
160	1371	7145
161	1379	7137
162	1387	7126
163	1396	7116
164	1404	7105
165	1412	7096
166	1420	7086
167	1428	7076
168	1437	7066
169	1446	7059
170	1454	7051
171	1462	7042
172	1471	7033
173	1479	7024
174	1488	7015
175	1496	7006
176	1504	6995
177	1513	6987
178	1521	6977
179	1529	6968
180	1538	6960
181	1546	6951
182	1555	6943
183	1563	6934
184	1572	6926
185	1580	6917
186	1588	6907
187	1598	6902
188	1606	6893
189	1614	6883
190	1623	6875
191	1631	6866
192	1640	6858
193	1648	6849
194	1657	6842
195	1666	6834
196	1674	6825
197	1683	6817
198	1691	6807
199	1699	6797
200	1707	6788
201	1716	6779
202	1724	6771
203	1732	6762
204	1741	6754
205	1749	6743
206	1758	6735
207	1766	6727
208	1775	6718
209	1783	6709
210	1791	6700
211	1800	6691
212	1808	6682
213	1816	6673
214	1825	6665
215	1833	6656
216	1842	6647
217	1850	6637
218	1858	6628
219	1867	6620
220	1875	6610
221	1883	6601
222	1891	6592
223	1900	6583
224	1908	6575
225	1917	6565
226	1925	6557
227	1934	6549
228	1942	6540
229	1950	6530
230	1959	6523
231	1968	6515
232	1976	6506
233	1984	6495
234	1992	6486
235	2001	6477
236	2009	6469
237	2017	6460
238	2026	6451
239	2034	6443
240	2043	6434
241	2051	6425
242	2059	6417
243	2068	6408
244	2076	6399
245	2084	6390
246	2093	6381
247	2110	6398
248	2118	6390
249	2127	6381
250	2135	6372
251	2144	6364
252	2152	6354
253	2160	6345
254	2169	6337
255	2177	6328
256	2185	6319
257	2194	6311
258	2203	6304
259	2211	6294
260	2219	6285
261	2228	6277
262	2236	6268
263	2245	6260
264	2253	6251
265	2262	6242
266	2270	6233
267	2279	6224
268	2287	6215
269	2295	6206
270	2304	6198
271	2312	6188
272	2320	6179
273	2329	6171
274	2337	6161
275	2345	6152
276	2353	6143
277	2362	6134
278	2370	6126
279	2379	6118
280	2387	6109
281	2396	6100
282	2403	6090
283	2412	6082
284	2420	6072
285	2428	6063
286	2437	6055
287	2446	6047
288	2454	6038
289	2462	6029
290	2471	6021
291	2480	6013
292	2488	6005
293	2497	5996
294	2505	5987
295	2514	5980
296	2522	5971
297	2531	5963
298	2539	5954
299	2548	5946
300	2556	5937
301	2565	5929
302	2573	5920
303	2581	5911
304	2590	5902
305	2599	5894
306	2607	5885
307	2615	5876
308	2624	5868
309	2632	5859
310	2640	5849
311	2648	5841
312	2657	5832
313	2665	5823
314	2674	5815
315	2682	5807
316	2691	5798
317	2699	5790
318	2708	5782
319	2716	5773
320	2725	5764
321	2733	5755
322	2742	5747
323	2750	5739
324	2759	5730
325	2768	5722
326	2776	5714
327	2784	5705
328	2793	5697
329	2801	5688
330	2810	5679
331	2818	5670
332	2826	5661
333	2835	5653
334	2843	5644
335	2852	5636
336	2860	5627
337	2868	5618
338	2877	5611
339	2886	5602
340	2894	5594
341	2903	5585
342	2911	5576
343	2919	5568
344	2929	5561
345	2937	5552
346	2946	5544
347	2954	5535
348	2963	5528
349	2972	5520
350	2980	5511
351	2988	5502
352	2997	5493
353	3005	5485
354	3014	5476
355	3022	5468
356	3031	5459
357	3039	5450
358	3048	5442
359	3056	5433
360	3064	5424
361	3073	5417
362	3082	5408
363	3090	5400
364	3099	5391
365	3107	5383
366	3116	5375
367	3124	5366
368	3133	5358
369	3141	5349
370	3150	5340
371	3158	5331
372	3166	5322
373	3174	5313
374	3182	5304
375	3191	5297
376	3200	5288
377	3208	5279
378	3216	5270
379	3225	5262
380	3233	5253
381	3241	5244
382	3250	5235
383	3258	5227
384	3267	5219
385	3275	5210
386	3284	5202
387	3293	5194
388	3301	5185
389	3309	5176
390	3318	5169
391	3327	5160
392	3335	5152
393	3344	5143
394	3352	5134
395	3360	5125
396	3368	5116
397	3377	5108
398	3385	5098
399	3393	5089
400	3401	5081
401	3410	5072
402	3418	5064
403	3426	5055
404	3435	5046
405	3443	5038
406	3452	5029
407	3460	5020
408	3468	5012
409	3476	5002
410	3484	4994
411	3493	4985
412	3501	4976
413	3509	4968
414	3517	4959
415	3526	4950
416	3534	4941
417	3542	4932
418	3550	4923
419	3559	4915
420	3567	4906
421	3575	4897
422	3584	4888
423	3592	4880
424	3600	4871
425	3608	4862
426	3617	4854
427	3625	4845
428	3634	4837
429	3642	4828
430	3650	4819
431	3659	4811
432	3667	4802
433	3675	4793
434	3684	4785
435	3692	4776
436	3700	4767
437	3708	4758
438	3717	4750
439	3726	4742
440	3734	4733
441	3742	4725
442	3751	4716
443	3759	4707
444	3767	4699
445	3776	4690
446	3784	4682
447	3792	4673
448	3800	4664
449	3809	4656
450	3818	4647
451	3826	4639
452	3834	4630
453	3843	4621
454	3851	4613
455	3859	4604
456	3868	4596
457	3876	4587
458	3885	4580
459	3894	4571
460	3903	4563
461	3911	4555
462	3919	4546
463	3928	4537
464	3936	4529
465	3944	4520
466	3952	4511
467	3961	4503
468	3969	4494
469	3978	4486
470	3989	4480
471	3997	4471
472	4006	4463
473	4014	4454
474	4023	4446
475	4031	4438
476	4040	4429
