Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble smote,Bagging,0.9814275309541152,0.9789244427986636,0.978466280281662,0.9786867229869192
Baseline Performa Ensemble smote,AdaBoost,0.4497450837581937,0.4432496536889987,0.4715391912109939,0.4348978631786594
Baseline Performa Ensemble smote,GradientBoosting,0.7703326050012139,0.7450654214259749,0.7891747247651949,0.7587019627715844
Baseline Performa Ensemble smote,Voting (RF+ET+DT) soft,0.98349113862588,0.9802164388643462,0.979924984683076,0.9800584600206654
Baseline Performa Ensemble smote,Voting (RF+ET+DT) hard,0.9844622481184754,0.9820964426391604,0.981233126214994,0.9816600314978314
Baseline Normalization Performa Ensemble SMOTE,Bagging,0.9814275309541152,0.9791272508642612,0.978439089202471,0.9787704754514358
Baseline Normalization Performa Ensemble SMOTE,AdaBoost,0.4497450837581937,0.4432496536889987,0.4715391912109939,0.4348978631786594
Baseline Normalization Performa Ensemble SMOTE,GradientBoosting,0.7696042728817675,0.7442146724220164,0.7884034862673663,0.7578869759562247
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9833697499393056,0.980521380400906,0.9801578581847998,0.9803340568020136
Baseline Normalization Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.984340859431901,0.9818254852241796,0.9813261680175128,0.9815732294590352
PCA 8 Performa Ensemble SMOTE,Bagging,0.9620053411022093,0.95684665411928,0.9562871796534992,0.9565652350558542
PCA 8 Performa Ensemble SMOTE,AdaBoost,0.4354212187424132,0.4385025228203323,0.4555964765265451,0.4277179486154015
PCA 8 Performa Ensemble SMOTE,GradientBoosting,0.6653313911143481,0.6427756796875201,0.6796675438068129,0.65150396123607
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.954843408594319,0.948103165651025,0.9493423898772824,0.9487116328925408
PCA 8 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9675892206846322,0.9634421403428558,0.9613892681602998,0.962402075638082
PCA 7 Performa Ensemble SMOTE,Bagging,0.9530225782957028,0.9460950534469912,0.9474555002226188,0.946768603108022
PCA 7 Performa Ensemble SMOTE,AdaBoost,0.4193979121145909,0.4167466065381049,0.4319336234203805,0.4103819340530794
PCA 7 Performa Ensemble SMOTE,GradientBoosting,0.6471230881281864,0.6242547267776927,0.6571656781938051,0.6303376208073289
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9448895362952172,0.9379823397149538,0.9379699947789528,0.9379606109917514
PCA 7 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9582422918184024,0.953651963703593,0.9514150599259882,0.9524974945941812
PCA 6 Performa Ensemble SMOTE,Bagging,0.9546006312211702,0.9468099889866872,0.9492803487954444,0.948022750740564
PCA 6 Performa Ensemble SMOTE,AdaBoost,0.4197620781743141,0.4233126663427836,0.4486681697332897,0.4108613865108287
PCA 6 Performa Ensemble SMOTE,GradientBoosting,0.6369264384559359,0.6170395154169557,0.6486898569677019,0.622282198036808
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9428259286234524,0.9337833120129778,0.9367818302642692,0.9352609553415024
PCA 6 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9587278465647,0.9533599426980044,0.9522577511818257,0.9527915721195416
PCA 5 Performa Ensemble SMOTE,Bagging,0.9367564942947317,0.9281916949132405,0.9315573740766114,0.9298441518135654
PCA 5 Performa Ensemble SMOTE,AdaBoost,0.3911143481427531,0.41628539683595084,0.4234606237110177,0.3916114388990751
PCA 5 Performa Ensemble SMOTE,GradientBoosting,0.6023306627822287,0.5896540204392905,0.6206732252011898,0.5921118349445381
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT) soft,0.9280165088613741,0.9169465805766327,0.9215153975918311,0.919182779593932
PCA 5 Performa Ensemble SMOTE,Voting (RF+ET+DT) hard,0.9451323136683661,0.9386210185979641,0.9384861370713585,0.9385314727708742
