Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa OversamplingSMOTE,Random Forest,0.9946397804862483,0.994653191988595,0.9946575489316372,0.9946548485620736
Baseline Performa OversamplingSMOTE,KNN,0.9813668559760066,0.9814116602865636,0.9814564610488804,0.9813870209966392
Baseline Performa OversamplingSMOTE,Naive Bayes,0.4017612149830898,0.4051697673295292,0.4017528027878853,0.3779668881760522
Baseline Performa OversamplingSMOTE,Decision Tree,0.9837917171846086,0.983794420096354,0.9838767780313152,0.9838259959095852
normalization Performa OversamplingSMOTE,Random Forest,0.9950226533086594,0.9950308186388346,0.9950368229873716,0.9950332944297088
normalization Performa OversamplingSMOTE,KNN,0.9772828792036246,0.9773366898778482,0.9774002129448714,0.9773115741915988
normalization Performa OversamplingSMOTE,Naive Bayes,0.4017612149830898,0.4051697673295292,0.4017528027878853,0.3779668881760522
normalization Performa OversamplingSMOTE,Decision Tree,0.9837917171846086,0.9837946136500466,0.9838760464617764,0.98382652584236
pca 7 Performa OversamplingSMOTE,Random Forest,0.9813668559760066,0.9813906284213424,0.9814476496423212,0.9814100983278148
pca 7 Performa OversamplingSMOTE,KNN,0.9684768042881756,0.9685609087725622,0.9686660105864686,0.9684991144480876
pca 7 Performa OversamplingSMOTE,Naive Bayes,0.456320592176632,0.4488900211055521,0.4572318830206159,0.4449040015400551
pca 7 Performa OversamplingSMOTE,Decision Tree,0.9546295705443176,0.9546272602329752,0.9547987629921836,0.9546859363874868
pca 6 Performa OversamplingSMOTE,Random Forest,0.9821964137578968,0.9822238437991662,0.9822757420911052,0.9822373432510344
pca 6 Performa OversamplingSMOTE,KNN,0.9689873013847232,0.9690687389261272,0.9691596324073296,0.9690133218976532
pca 6 Performa OversamplingSMOTE,Naive Bayes,0.4524918639525238,0.4436200113839681,0.4534788997973864,0.4383375551308949
pca 6 Performa OversamplingSMOTE,Decision Tree,0.9560334375598238,0.956082576671278,0.956169633009076,0.956103780796482
pca 5 Performa OversamplingSMOTE,Random Forest,0.9725607810605578,0.9725937423827263,0.9726976384702258,0.9726321812232639
pca 5 Performa OversamplingSMOTE,KNN,0.958904983727905,0.9590558030702849,0.9591624281532125,0.9589042333979428
pca 5 Performa OversamplingSMOTE,Naive Bayes,0.4168208793312488,0.40968397925806793,0.41738890915876314,0.40405183035491044
pca 5 Performa OversamplingSMOTE,Decision Tree,0.9441005679280199,0.9441033172028772,0.9443358600811413,0.9441802353926395
