Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa,Random Forest,0.9946397804862483,0.994653191988595,0.9946575489316372,0.9946548485620736
Baseline Performa,KNN,0.9813668559760066,0.9814116602865636,0.9814564610488804,0.9813870209966392
Baseline Performa,Naive Bayes,0.4017612149830898,0.4051697673295292,0.4017528027878853,0.3779668881760522
Baseline Performa,Decision Tree,0.9837917171846086,0.983794420096354,0.9838767780313152,0.9838259959095852
Baseline Performa,Random Forest,0.9946397804862483,0.994653191988595,0.9946575489316372,0.9946548485620736
Baseline Performa,KNN,0.9813668559760066,0.9814116602865636,0.9814564610488804,0.9813870209966392
Baseline Performa,Naive Bayes,0.4017612149830898,0.4051697673295292,0.4017528027878853,0.3779668881760522
Baseline Performa,Decision Tree,0.9837917171846086,0.983794420096354,0.9838767780313152,0.9838259959095852
Baseline Performa,Random Forest,0.9946397804862485,0.994653191988595,0.9946575489316372,0.9946548485620736
Baseline Performa,KNN,0.9813668559760066,0.9814116602865637,0.9814564610488805,0.9813870209966391
Baseline Performa,Naive Bayes,0.4017612149830898,0.40516976732952925,0.40175280278788533,0.3779668881760522
Baseline Performa,Decision Tree,0.9837917171846086,0.983794420096354,0.9838767780313151,0.9838259959095852
