iter	Passed	Remaining
0	14	14904
1	25	12791
2	35	11904
3	46	11548
4	57	11354
5	67	11157
6	77	11035
7	88	10960
8	99	10934
9	109	10871
10	121	10922
11	132	10883
12	143	10864
13	154	10861
14	164	10788
15	175	10776
16	186	10761
17	196	10744
18	207	10712
19	217	10675
20	228	10641
21	238	10606
22	248	10571
23	259	10545
24	269	10516
25	281	10545
26	292	10531
27	302	10516
28	313	10502
29	324	10492
30	335	10498
31	346	10490
32	357	10485
33	368	10465
34	378	10448
35	389	10431
36	401	10455
37	411	10428
38	422	10400
39	432	10379
40	443	10365
41	455	10383
42	466	10379
43	477	10364
44	487	10347
45	497	10321
46	507	10299
47	518	10281
48	529	10273
49	539	10253
50	550	10246
51	561	10230
52	573	10240
53	583	10225
54	594	10214
55	605	10202
56	615	10188
57	626	10169
58	636	10149
59	647	10148
60	658	10137
61	669	10131
62	680	10117
63	712	10416
64	740	10658
65	755	10692
66	767	10682
67	781	10705
68	793	10703
69	807	10727
70	820	10733
71	833	10744
72	845	10738
73	856	10711
74	876	10813
75	887	10792
76	898	10774
77	910	10764
78	921	10737
79	932	10723
80	942	10696
81	954	10690
82	965	10670
83	975	10639
84	986	10614
85	996	10594
86	1007	10571
87	1018	10554
88	1029	10535
89	1040	10519
90	1051	10507
91	1062	10487
92	1072	10461
93	1083	10442
94	1093	10420
95	1104	10399
96	1115	10382
97	1126	10363
98	1135	10335
99	1146	10320
100	1158	10308
101	1170	10305
102	1182	10298
103	1193	10284
104	1211	10329
105	1225	10334
106	1236	10315
107	1247	10300
108	1258	10290
109	1269	10270
110	1280	10255
111	1291	10241
112	1302	10224
113	1313	10207
114	1324	10189
115	1334	10171
116	1345	10156
117	1357	10145
118	1368	10133
119	1380	10121
120	1392	10113
121	1410	10150
122	1421	10137
123	1434	10134
124	1446	10123
125	1457	10111
126	1469	10102
127	1480	10088
128	1492	10077
129	1504	10071
130	1516	10059
131	1529	10056
132	1541	10049
133	1553	10040
134	1565	10031
135	1578	10031
136	1590	10020
137	1603	10016
138	1617	10018
139	1630	10017
140	1642	10009
141	1656	10007
142	1668	9997
143	1679	9984
144	1692	9982
145	1705	9974
146	1717	9963
147	1728	9951
148	1739	9935
149	1750	9921
150	1762	9911
151	1774	9898
152	1786	9889
153	1798	9880
154	1811	9873
155	1822	9862
156	1835	9853
157	1846	9842
158	1858	9829
159	1870	9819
160	1882	9809
161	1894	9798
162	1906	9789
163	1933	9856
164	1950	9872
165	1965	9877
166	1980	9880
167	1994	9876
168	2007	9869
169	2020	9862
170	2032	9853
171	2045	9845
172	2058	9838
173	2070	9828
174	2082	9816
175	2095	9809
176	2107	9799
177	2120	9792
178	2135	9794
179	2148	9786
180	2160	9777
181	2186	9827
182	2200	9822
183	2212	9813
184	2225	9803
185	2237	9793
186	2251	9787
187	2262	9772
188	2276	9767
189	2287	9752
190	2300	9742
191	2311	9728
192	2322	9712
193	2334	9697
194	2345	9683
195	2358	9673
196	2369	9657
197	2380	9642
198	2392	9629
199	2403	9615
200	2415	9603
201	2427	9590
202	2439	9576
203	2450	9561
204	2462	9550
205	2474	9536
206	2490	9540
207	2503	9532
208	2515	9518
209	2527	9509
210	2540	9498
211	2551	9484
212	2563	9471
213	2576	9462
214	2588	9452
215	2602	9446
216	2615	9436
217	2626	9422
218	2639	9413
219	2651	9400
220	2663	9388
221	2675	9376
222	2687	9364
223	2699	9351
224	2711	9340
225	2723	9326
226	2735	9313
227	2747	9303
228	2758	9288
229	2770	9275
230	2782	9264
231	2794	9252
232	2807	9242
233	2820	9231
234	2831	9218
235	2844	9209
236	2857	9198
237	2868	9184
238	2881	9176
239	2893	9162
240	2904	9148
241	2917	9136
242	2929	9126
243	2941	9115
244	2954	9103
245	2966	9091
