Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble random oversampling,Bagging,0.9825200291332848,0.9807553186688416,0.9792254510867788,0.9799731504594276
Baseline Performa Ensemble random oversampling,AdaBoost,0.4647972808934207,0.4682662266951378,0.4903833953860286,0.4509649105707828
Baseline Performa Ensemble random oversampling,GradientBoosting,0.7700898276280651,0.7452173260646323,0.7916130437709139,0.7594906163220709
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9853119689244962,0.9835859810899836,0.9825379553313358,0.9830525196960226
Baseline Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.986404467103666,0.9844652037752226,0.9834278612770287,0.9839332854274758
Baseline Normalization Performa Ensemble random oversampling,Bagging,0.981670308327264,0.9801509485001716,0.978258676542802,0.979185502172948
Baseline Normalization Performa Ensemble random oversampling,AdaBoost,0.4647972808934207,0.4682662266951378,0.4903833953860286,0.4509649105707828
Baseline Normalization Performa Ensemble random oversampling,GradientBoosting,0.7700898276280651,0.7452173260646323,0.7916130437709139,0.7594906163220709
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9840980820587522,0.982255063735544,0.9808295153977412,0.9815266563409
Baseline Normalization Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9855547462976452,0.9839874511474987,0.9824300090310594,0.983196982747076
PCA 8 Performa Ensemble random oversampling,Bagging,0.961641175042486,0.9566341948317932,0.9555225484242628,0.9560757115954488
PCA 8 Performa Ensemble random oversampling,AdaBoost,0.433600388443797,0.4246596904145736,0.4417987206500331,0.4217310732348807
PCA 8 Performa Ensemble random oversampling,GradientBoosting,0.6692158290847293,0.6469078851835042,0.683029992582104,0.6555812937711715
PCA 8 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9503520271910658,0.946037738268639,0.940835323661696,0.9433665258680456
PCA 8 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9654042243262928,0.9626137601462964,0.9579824252609984,0.9602428237640768
PCA 7 Performa Ensemble random oversampling,Bagging,0.9513231366836612,0.9464273893736296,0.9443658224594776,0.945386214867868
PCA 7 Performa Ensemble random oversampling,AdaBoost,0.4198834668608885,0.4227758583070525,0.4396018788091649,0.4120036386720466
PCA 7 Performa Ensemble random oversampling,GradientBoosting,0.6477300315610585,0.6252097664916798,0.6587691524199304,0.6316631889880575
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9396698227725176,0.9354517200475496,0.931098111507447,0.9331920403479256
PCA 7 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.9588492352512746,0.9561646589386724,0.9504928075421056,0.9532460557080208
PCA 6 Performa Ensemble random oversampling,Bagging,0.9531439669822772,0.9479445918858715,0.9458574466489728,0.9468809793945284
PCA 6 Performa Ensemble random oversampling,AdaBoost,0.4150279193979121,0.4114038046431392,0.4364925845767389,0.4073508930178406
PCA 6 Performa Ensemble random oversampling,GradientBoosting,0.6343772760378733,0.615788411904745,0.6464569770167916,0.6199472993875107
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT) soft,0.9419762078174314,0.9364120588614666,0.9323425729664748,0.934285041352185
PCA 6 Performa Ensemble random oversampling,Voting (RF+ET+DT) hard,0.958120903131828,0.9546095539775104,0.9497522454523284,0.95212890896592
PCA 5 Performa Ensemble Random Oversampling,Bagging,0.937727603787327,0.9295519899325912,0.9308646527960207,0.9301852881443405
PCA 5 Performa Ensemble Random Oversampling,AdaBoost,0.40349599417334303,0.4059744009914404,0.41827942958143216,0.39564898936756615
PCA 5 Performa Ensemble Random Oversampling,GradientBoosting,0.6008739985433358,0.5874523976373295,0.6172206149048252,0.5896516082529797
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT) soft,0.9255887351298859,0.9174991181801566,0.9158526336598447,0.9166347396988692
PCA 5 Performa Ensemble Random Oversampling,Voting (RF+ET+DT) hard,0.9441612041757708,0.9400043341451069,0.9341268622409554,0.9369634795609088
