Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa randomoversampling,Random Forest,0.9861616897305172,0.9845296343674846,0.9836373717312272,0.9840748678948046
Baseline Performa randomoversampling,KNN,0.9596989560572956,0.9490441003936978,0.9576415213238332,0.9532079464864062
Baseline Performa randomoversampling,Naive Bayes,0.3826171400825443,0.3927649012520344,0.4079233383404833,0.3591569896557414
Baseline Performa randomoversampling,Decision Tree,0.9712308812818644,0.9688796904332204,0.966278146938689,0.967565293361211
Baseline Performa randomoversampling,Extra Trees,0.9853119689244962,0.9834002513905789,0.9818512100909536,0.9826146115523664
normalization Performa randomoversampling,Random Forest,0.9851905802379218,0.9834530108886071,0.9824515745763416,0.9829430044491336
normalization Performa randomoversampling,KNN,0.9502306385044914,0.9377932215158822,0.948360582383668,0.9428493751748126
normalization Performa randomoversampling,Naive Bayes,0.3826171400825443,0.3927649012520344,0.4079233383404833,0.3591569896557414
normalization Performa randomoversampling,Decision Tree,0.9700169944161204,0.9674387855922304,0.9645697070050944,0.9659838062639584
normalization Performa randomoversampling,Extra Trees,0.9854333576110706,0.983572851920336,0.981906513143955,0.9827258629347552
pca 8 Performa randomoversampling,Random Forest,0.964554503520272,0.960732950613806,0.957241864295684,0.9589558124143648
pca 8 Performa randomoversampling,KNN,0.9394270453993688,0.9252830257558547,0.9382263453622242,0.9313727107143436
pca 8 Performa randomoversampling,Naive Bayes,0.4450109249817917,0.4477094473349856,0.4809359990982479,0.4365453598534685
pca 8 Performa randomoversampling,Decision Tree,0.9278951201747996,0.9214783185500128,0.9194106369011776,0.9203836030643748
pca 8 Performa randomoversampling,Extra Trees,0.9658897790725904,0.964261188894286,0.95737448690409,0.9607401367467509
pca 7 Performa randomoversampling,Random Forest,0.9565428502063608,0.953029233622798,0.9482556982988009,0.9506011086954336
pca 7 Performa randomoversampling,KNN,0.9322651128914784,0.9168762882698308,0.9323170779676552,0.9240645542902698
pca 7 Performa randomoversampling,Naive Bayes,0.4202476329206118,0.4206932404699821,0.4600707080027453,0.4129063363812307
pca 7 Performa randomoversampling,Decision Tree,0.9166059723233796,0.9097018773155646,0.9078720291872152,0.9087292764390236
pca 7 Performa randomoversampling,Extra Trees,0.960427288176742,0.9584211463361578,0.9508639291861444,0.9545373432032616
pca 6 Performa randomoversampling,Random Forest,0.9560572954600632,0.9524705475907856,0.9476613003616848,0.950016209455257
pca 6 Performa randomoversampling,KNN,0.9394270453993688,0.925537137107994,0.9403576509376136,0.9325111018054896
pca 6 Performa randomoversampling,Naive Bayes,0.420611798980335,0.4263698138836787,0.4651953906817202,0.4134419488747565
pca 6 Performa randomoversampling,Decision Tree,0.9210973537266328,0.9134318266218148,0.9110702957783422,0.9121481050547052
pca 6 Performa randomoversampling,Extra Trees,0.9584850691915512,0.9562551790679744,0.9489683112756302,0.9525173767392078
pca 5 Performa randomoversampling,Random Forest,0.9423403738771546,0.9367936082982903,0.9337368621754949,0.9352245434884321
pca 5 Performa randomoversampling,KNN,0.9214615197863559,0.9055405642875067,0.9246825430862511,0.9144245703815589
pca 5 Performa randomoversampling,Naive Bayes,0.38820101966496723,0.39423582118415534,0.42278817313248884,0.3779159658167711
pca 5 Performa randomoversampling,Decision Tree,0.9045884923525127,0.8939504415470164,0.89404136348945,0.8939802305260915
pca 5 Performa randomoversampling,Extra Trees,0.9473173100267055,0.9462582742537128,0.936257894558487,0.9410759360968474
