iter	MultiClass
0	1.343024253
1	1.161158837
2	1.029510368
3	0.9263960746
4	0.8416052367
5	0.7713167714
6	0.7132583232
7	0.6643768371
8	0.6230400365
9	0.586809274
10	0.5550845749
11	0.5277504814
12	0.5021726757
13	0.4812740214
14	0.4616464123
15	0.4444136642
16	0.4283664093
17	0.4136407661
18	0.4006504528
19	0.3893068834
20	0.378792885
21	0.3691457266
22	0.3602243588
23	0.3528271627
24	0.3464870466
25	0.3401778917
26	0.3341470827
27	0.3289557834
28	0.323507956
29	0.3196290162
30	0.3162427486
31	0.3123722533
32	0.3086971666
33	0.3055982085
34	0.3027777078
35	0.2998286726
36	0.2973192257
37	0.2947389116
38	0.2926616823
39	0.2911660297
40	0.2892695403
41	0.2873077748
42	0.285829695
43	0.2844057124
44	0.2825791841
45	0.2813232899
46	0.280137835
47	0.2790708853
48	0.2775568291
49	0.2766362585
50	0.2755577992
51	0.2741767521
52	0.2731416559
53	0.2725900495
54	0.2717091247
55	0.2710418216
56	0.2702067597
57	0.2694819013
58	0.2688719909
59	0.2681850165
60	0.26720536
61	0.2666348518
62	0.2659829513
63	0.2652653748
64	0.2644398752
65	0.263562512
66	0.2631213209
67	0.2623701494
68	0.2619098349
69	0.261343241
70	0.2605904064
71	0.2600365029
72	0.2596367818
73	0.2589110986
74	0.2581774922
75	0.2576851315
76	0.2567426097
77	0.2561972499
78	0.2557777678
79	0.2552011103
80	0.2547360573
81	0.2543043928
82	0.2537999181
83	0.2531198003
84	0.2527384988
85	0.2524997236
86	0.2519729955
87	0.2516221849
88	0.2512197641
89	0.2507537086
90	0.2503465305
91	0.2499797801
92	0.2494963927
93	0.2489121697
94	0.2483831512
95	0.2480286125
96	0.2475660824
97	0.2470776465
98	0.2466329465
99	0.2463088968
100	0.245973381
101	0.2456408501
102	0.245407063
103	0.2450734099
104	0.2445793077
105	0.2442302526
106	0.2439858175
107	0.2435891204
108	0.2433803191
109	0.2430807749
110	0.2428126674
111	0.2422443945
112	0.2418863877
113	0.2416508548
114	0.2413457851
115	0.2409091225
116	0.240313063
117	0.2399352982
118	0.2396970721
119	0.2393214428
120	0.2390623687
121	0.2387380871
122	0.2384542933
123	0.2381238656
124	0.2377333825
125	0.237504008
126	0.2371229533
127	0.2366781478
128	0.2364226107
129	0.2360552634
130	0.235646238
131	0.2353223449
132	0.2349898362
133	0.234621377
134	0.2343454351
135	0.2340286481
136	0.2337818855
137	0.2334435217
138	0.2330577894
139	0.2328492294
140	0.2324585227
141	0.2320822108
142	0.2319184539
143	0.2316742123
144	0.2312351859
145	0.2308412721
146	0.2305708384
147	0.2302413956
148	0.2300120523
149	0.2297124597
150	0.2292727746
151	0.2290264208
152	0.2287385142
153	0.2285454877
154	0.2283852353
155	0.2281024235
156	0.2277443538
157	0.2274453911
158	0.2271940281
159	0.2268854789
160	0.2265808376
161	0.2263156383
162	0.2260551926
163	0.2257074234
164	0.2254151576
165	0.2251850064
166	0.2249352977
167	0.2246425195
168	0.2244281885
169	0.2242245831
170	0.2240301092
171	0.2238373806
172	0.2235137647
173	0.2233476784
174	0.2231431003
175	0.2229721373
176	0.2226626847
177	0.2223993823
178	0.2220831925
179	0.2217264554
180	0.2214958494
181	0.2212247259
182	0.2209605353
183	0.2206385293
184	0.2202901956
185	0.2200626667
186	0.219873329
187	0.2195907026
188	0.2194205911
189	0.219141852
190	0.2187917518
191	0.2186188064
192	0.2183154594
193	0.2179663481
194	0.2176250573
195	0.2173812849
196	0.2170001547
197	0.2168721361
198	0.2166134475
199	0.2162805018
200	0.2160149161
201	0.2158262942
202	0.2155948155
203	0.2153734174
204	0.2151150865
205	0.214885745
206	0.2145815859
207	0.2143907709
208	0.2142448081
209	0.2139871186
210	0.2139039774
211	0.2137462002
212	0.21345787
213	0.2131117669
214	0.2129524292
215	0.2128084164
216	0.2124805588
217	0.212326094
218	0.21209522
219	0.2119512913
220	0.2117532919
221	0.2113863322
222	0.2111400549
223	0.2109295036
224	0.2106873617
225	0.210482107
226	0.2103283211
227	0.210146877
228	0.2098876991
229	0.2097373384
230	0.2095070734
231	0.2092571848
232	0.2090294062
233	0.2088002703
234	0.2085883493
235	0.2084116109
236	0.2082761881
237	0.2080167081
238	0.2078402686
239	0.2077183869
240	0.2074483545
241	0.2071946964
242	0.2069005244
243	0.2066176137
244	0.2063915329
245	0.206186944
246	0.2059642161
247	0.2057762208
248	0.2056071177
249	0.2053939945
250	0.2052722218
251	0.2050619738
252	0.2048838759
253	0.2047287051
254	0.2045704432
255	0.2044403108
256	0.2043199086
257	0.2041163836
258	0.2039442999
259	0.2036928979
260	0.2035601679
261	0.203398985
262	0.203232934
263	0.2030404582
264	0.2029397189
265	0.2026695296
266	0.202415582
267	0.2021186954
268	0.2019641631
269	0.2017474167
270	0.2014803836
271	0.2012086005
272	0.2009617085
273	0.2008337499
274	0.2006801076
275	0.2005040141
276	0.2003194281
277	0.2002176662
278	0.199980696
279	0.199753656
280	0.1995279784
281	0.1993867132
282	0.1991773225
283	0.1989705353
284	0.1988376933
285	0.1985872729
286	0.1983932068
287	0.1982580499
288	0.1980240061
289	0.1977708442
290	0.1975810288
291	0.1973473691
292	0.1971470016
293	0.1969898151
294	0.1967697945
