iter	Passed	Remaining
0	7	7709
1	11	5802
2	15	5125
3	18	4626
4	21	4349
5	25	4269
6	28	4112
7	32	4070
8	36	4010
9	39	3926
10	43	3873
11	46	3818
12	49	3790
13	53	3756
14	56	3734
15	60	3724
16	64	3733
17	68	3728
18	71	3695
19	75	3678
20	78	3645
21	81	3615
22	84	3596
23	87	3571
24	91	3552
25	94	3538
26	97	3522
27	101	3522
28	104	3506
29	108	3498
30	111	3491
31	114	3477
32	118	3468
33	121	3457
34	125	3451
35	128	3450
36	132	3438
37	135	3432
38	138	3423
39	142	3415
40	146	3421
41	149	3419
42	153	3407
43	156	3403
44	160	3395
45	163	3383
46	166	3376
47	170	3385
48	175	3398
49	178	3394
50	182	3391
51	186	3401
52	191	3422
53	197	3458
54	202	3472
55	207	3489
56	211	3501
57	216	3514
58	220	3521
59	224	3511
60	227	3500
61	231	3494
62	234	3485
63	237	3477
64	241	3469
65	244	3456
66	247	3448
67	251	3448
68	255	3451
69	259	3445
70	263	3451
71	268	3455
72	271	3446
73	276	3458
74	279	3449
75	284	3460
76	288	3460
77	292	3454
78	296	3452
79	299	3443
80	303	3439
81	306	3432
82	310	3431
83	313	3420
84	317	3413
85	320	3407
86	323	3399
87	327	3391
88	330	3386
89	334	3383
90	337	3375
91	341	3368
92	344	3360
93	347	3352
94	351	3346
95	354	3342
96	358	3335
97	361	3328
98	364	3320
99	368	3313
100	371	3306
101	374	3299
102	378	3292
103	381	3289
104	385	3282
105	388	3277
106	391	3270
107	395	3265
108	398	3259
109	401	3252
110	405	3246
111	408	3240
112	411	3233
113	415	3226
114	418	3221
115	422	3216
116	425	3210
117	428	3202
118	431	3196
119	435	3190
120	438	3184
121	441	3177
122	444	3171
123	448	3164
124	451	3160
125	454	3155
126	458	3148
127	461	3143
128	464	3136
129	468	3133
130	471	3127
131	474	3121
132	478	3117
133	481	3110
134	484	3106
135	488	3100
136	491	3096
137	494	3091
138	497	3084
139	501	3078
140	504	3071
141	508	3073
142	512	3071
143	516	3067
144	519	3063
145	523	3059
146	526	3055
147	529	3049
148	533	3045
149	536	3041
150	540	3040
151	544	3037
152	548	3033
153	551	3029
154	554	3025
155	558	3022
156	562	3019
157	565	3013
158	569	3010
159	572	3007
160	575	3001
161	579	2996
162	582	2992
163	588	2998
164	592	2997
165	596	2997
166	600	2995
167	604	2992
168	608	2993
169	612	2988
170	616	2986
171	619	2981
172	623	2980
173	626	2976
174	631	2974
175	634	2971
176	638	2969
177	641	2964
178	645	2959
179	648	2953
180	651	2948
181	654	2943
182	658	2939
183	661	2934
184	665	2930
185	668	2924
186	671	2919
187	676	2921
188	679	2916
189	682	2910
190	686	2906
191	690	2906
192	694	2902
193	698	2902
194	702	2899
195	706	2896
196	709	2890
197	712	2886
198	716	2882
199	719	2876
200	722	2871
201	725	2866
202	729	2862
203	732	2857
204	735	2853
205	738	2848
206	742	2844
207	745	2839
208	751	2844
209	754	2839
210	758	2837
211	762	2834
212	765	2828
213	769	2824
214	772	2820
215	776	2817
216	779	2811
217	782	2808
218	786	2803
219	789	2799
220	794	2799
221	798	2798
222	801	2792
223	805	2789
224	808	2785
225	812	2782
226	816	2780
227	820	2778
228	824	2776
229	827	2770
230	831	2766
231	834	2762
232	838	2758
233	841	2755
234	844	2750
235	849	2749
236	852	2744
237	856	2743
238	860	2738
239	863	2733
240	866	2729
241	870	2725
242	874	2724
243	877	2719
244	881	2715
245	884	2712
246	888	2708
247	892	2704
248	896	2703
249	899	2699
250	903	2695
251	907	2693
252	910	2688
253	914	2685
254	917	2680
255	920	2676
256	924	2671
257	927	2666
258	930	2662
259	933	2657
260	937	2653
261	942	2654
262	945	2650
263	949	2646
264	958	2657
265	961	2652
266	964	2649
267	968	2645
268	971	2640
269	975	2636
270	979	2633
271	982	2630
272	986	2626
273	989	2621
274	992	2617
275	996	2613
276	1000	2610
277	1003	2606
278	1009	2608
279	1013	2605
280	1016	2601
281	1019	2596
282	1023	2592
283	1026	2587
284	1029	2583
285	1032	2578
286	1036	2574
287	1039	2569
288	1042	2565
289	1046	2562
290	1049	2557
291	1053	2553
292	1056	2549
293	1060	2545
294	1063	2541
295	1067	2538
296	1070	2534
297	1074	2532
298	1078	2528
299	1082	2525
300	1085	2521
301	1088	2516
302	1092	2512
303	1098	2515
304	1101	2510
305	1105	2507
306	1109	2503
307	1112	2499
308	1116	2495
309	1120	2493
310	1123	2488
311	1126	2484
312	1130	2480
313	1133	2476
314	1136	2471
315	1140	2468
316	1149	2475
317	1153	2473
318	1156	2468
319	1159	2464
320	1164	2462
321	1167	2458
322	1171	2455
323	1174	2451
324	1178	2447
325	1181	2443
326	1186	2441
327	1189	2437
328	1194	2435
329	1197	2431
330	1201	2428
331	1204	2423
332	1207	2419
333	1211	2416
334	1215	2412
335	1219	2410
336	1222	2405
337	1226	2401
338	1229	2397
339	1232	2393
340	1236	2389
341	1239	2384
342	1242	2380
343	1246	2376
344	1249	2372
345	1252	2367
346	1256	2364
347	1260	2361
348	1265	2360
349	1269	2357
350	1272	2353
351	1276	2349
352	1279	2345
353	1283	2341
354	1286	2337
355	1289	2333
356	1293	2329
357	1296	2325
358	1300	2322
359	1303	2317
360	1307	2313
361	1310	2309
362	1313	2305
363	1316	2301
364	1320	2296
365	1323	2292
366	1326	2288
367	1330	2284
368	1333	2280
369	1336	2276
370	1340	2272
371	1344	2268
372	1347	2265
373	1351	2261
374	1354	2257
375	1357	2253
376	1361	2249
377	1364	2245
378	1367	2241
379	1371	2237
380	1374	2232
381	1377	2228
382	1380	2224
383	1384	2220
384	1387	2215
385	1390	2211
386	1394	2208
387	1399	2206
388	1403	2204
389	1407	2201
390	1411	2197
391	1414	2194
392	1418	2191
393	1423	2188
394	1427	2185
395	1439	2195
396	1443	2191
397	1446	2187
398	1449	2183
399	1453	2179
400	1456	2175
401	1459	2171
402	1463	2167
403	1466	2163
404	1469	2159
405	1473	2155
406	1476	2150
407	1479	2146
408	1482	2142
409	1485	2138
410	1488	2133
411	1492	2130
412	1495	2126
