Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble undersampling,Bagging,0.9675892206846322,0.9607700042448676,0.9698867977698916,0.9651938495875004
Baseline Performa Ensemble undersampling,AdaBoost,0.4425831512503034,0.4606945518088532,0.482476065456245,0.4293436156276156
Baseline Performa Ensemble undersampling,GradientBoosting,0.7646273367322166,0.7406390586616988,0.7914896289457466,0.7552197062447373
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9683175528040786,0.961558540267829,0.9704301710788132,0.9658502211248764
Baseline Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.976086428744841,0.9703931862771265,0.9767918447279694,0.9735293251964868
Baseline normalisasi Performa Ensemble undersampling,Bagging,0.96698227725176,0.9598503170837368,0.9692037840652242,0.9643836602745216
Baseline normalisasi Performa Ensemble undersampling,AdaBoost,0.4425831512503034,0.4606945518088532,0.482476065456245,0.4293436156276156
Baseline normalisasi Performa Ensemble undersampling,GradientBoosting,0.7646273367322166,0.7406390586616988,0.7914896289457466,0.7552197062447373
Baseline normalisasi Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9680747754309298,0.9611192299685556,0.9701617849418904,0.96549206835236
Baseline normalisasi Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9754794853119688,0.969510199972194,0.9760505622421182,0.9727130441107904
PCA 8 Performa Ensemble undersampling,Bagging,0.930322893906288,0.9173681227112792,0.9359775712656384,0.9259752288433838
PCA 8 Performa Ensemble undersampling,AdaBoost,0.4209759650400582,0.412398456292825,0.438627043708432,0.4094573701904894
PCA 8 Performa Ensemble undersampling,GradientBoosting,0.6619325078902646,0.6426674113640696,0.6816291583413777,0.6504182383893367
PCA 8 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.9078659868900218,0.8909203930024809,0.91639985094794,0.9023441049034
PCA 8 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9413692643845594,0.928618922174221,0.9452507331412948,0.936442061153486
PCA 7 Performa Ensemble undersampling,Bagging,0.9141781985918912,0.8983263102009825,0.9223626674676186,0.909142567525589
PCA 7 Performa Ensemble undersampling,AdaBoost,0.4401553775188152,0.4345657794779478,0.464688244072015,0.4314555203685171
PCA 7 Performa Ensemble undersampling,GradientBoosting,0.6398397669337218,0.619308704631006,0.6536343276844506,0.6251072161452019
PCA 7 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.8932993445010925,0.8754305691462887,0.902559690652531,0.8874006555048132
PCA 7 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9285020636076716,0.9172457961320438,0.933473474045791,0.924853818689279
PCA 6 Performa Ensemble undersampling,Bagging,0.9134498664724447,0.8982118863213054,0.922281922002106,0.909050779716115
PCA 6 Performa Ensemble undersampling,AdaBoost,0.4308084486525855,0.4251437194486995,0.4524582836986915,0.4219570967422051
PCA 6 Performa Ensemble undersampling,GradientBoosting,0.6392328235008498,0.6200064169701103,0.6543660273340286,0.6258287189042715
PCA 6 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.8906287933964554,0.8733151471674496,0.9019785673962122,0.885863703868929
PCA 6 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.926195678562758,0.9127240718275796,0.9315171291713762,0.9213998733322548
PCA 5 Performa Ensemble undersampling,Bagging,0.8885651857246905,0.8704130038653289,0.9020132478554723,0.8841207822141415
PCA 5 Performa Ensemble undersampling,AdaBoost,0.4087157076960427,0.4128814769812367,0.43137726440954516,0.39739345251285274
PCA 5 Performa Ensemble undersampling,GradientBoosting,0.5956542850206361,0.5825758301016333,0.6132358319062818,0.5849985736269119
PCA 5 Performa Ensemble undersampling,Voting (RF+ET+DT) soft,0.8674435542607429,0.84811241417963,0.8806993249527675,0.8619384935390284
PCA 5 Performa Ensemble undersampling,Voting (RF+ET+DT) hard,0.9003398883224083,0.8840531831866265,0.9120468762640079,0.8964123498101912
