Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa undersampling,Random Forest,0.9736586550133528,0.9675159647684584,0.9747208135723636,0.9710299000358272
Baseline Performa undersampling,KNN,0.9202476329206118,0.9011353562816636,0.9260300688891032,0.9122041749269448
Baseline Performa undersampling,Naive Bayes,0.3811604758436513,0.3914663150798229,0.4057841995367606,0.356951878548609
Baseline Performa undersampling,Decision Tree,0.9448895362952172,0.9349996925731268,0.9516979643656978,0.9428485443545808
Baseline Performa undersampling,Extra Trees,0.9780286477300316,0.97297451070235,0.9781967052587036,0.9755342401950162
normalization Performa undersampling,Random Forest,0.9739014323865016,0.9679265173283582,0.974898201615866,0.971327764875338
normalization Performa undersampling,KNN,0.9051954357853847,0.8841337105599013,0.912227715426284,0.8963264190125223
normalization Performa undersampling,Naive Bayes,0.3811604758436513,0.3914663150798229,0.4057841995367606,0.356951878548609
normalization Performa undersampling,Decision Tree,0.9444039815489196,0.9344032685530156,0.9510868190171212,0.942249335455547
normalization Performa undersampling,Extra Trees,0.9780286477300316,0.97297451070235,0.9781967052587036,0.9755342401950162
pca 8 Performa undersampling,Random Forest,0.9352998300558388,0.922210670547918,0.9389425414457168,0.9300167382179276
pca 8 Performa undersampling,KNN,0.8908715707696043,0.8675899487233268,0.8983264760054454,0.8807631871163748
pca 8 Performa undersampling,Naive Bayes,0.4429473173100267,0.448149633862196,0.4791273148314189,0.4343233219871162
pca 8 Performa undersampling,Decision Tree,0.872177713037145,0.8527711757137398,0.8849593077400005,0.8664755311031426
pca 8 Performa undersampling,Extra Trees,0.945375091041515,0.933535922523436,0.94760095235191,0.9401880866192251
pca 7 Performa undersampling,Random Forest,0.9231609613983977,0.9107338412950912,0.927844723128309,0.9186902564742288
pca 7 Performa undersampling,KNN,0.8804321437242049,0.8568210300168839,0.8895920858257362,0.8706351003184378
pca 7 Performa undersampling,Naive Bayes,0.4202476329206118,0.4240218135694419,0.4615252271998643,0.4135344447319385
pca 7 Performa undersampling,Decision Tree,0.8579752367079388,0.8377942264580579,0.8710560111335377,0.851624822375784
pca 7 Performa undersampling,Extra Trees,0.9343287205632436,0.9222371779957144,0.9374542374455738,0.9294279490294056
pca 6 Performa undersampling,Random Forest,0.9215829084729305,0.9081529529692584,0.9283894025142624,0.9173788924071792
pca 6 Performa undersampling,KNN,0.8875940762320952,0.8649424554795715,0.8967648393875551,0.8784920802683638
pca 6 Performa undersampling,Naive Bayes,0.4173343044428259,0.4233013184619012,0.4600563156584576,0.4098812367946609
pca 6 Performa undersampling,Decision Tree,0.85360524399126,0.8336107779370596,0.8679592446992948,0.8479606299630266
pca 6 Performa undersampling,Extra Trees,0.9304442825928624,0.9170995294924212,0.9341424036370628,0.9250349108247484
pca 5 Performa undersampling,Random Forest,0.8951201747997086,0.8781199824587487,0.9071203903536793,0.890878415285614
pca 5 Performa undersampling,KNN,0.8555474629764506,0.8317399238765045,0.8727755904997732,0.8481415909288816
pca 5 Performa undersampling,Naive Bayes,0.3869871327992231,0.39427200368223564,0.4212530967982199,0.3768243250940855
pca 5 Performa undersampling,Decision Tree,0.835882495751396,0.8151915159549011,0.8528342258109255,0.8301308167001296
pca 5 Performa undersampling,Extra Trees,0.9092012624423403,0.8939751854302245,0.9191536590093682,0.9053451024478172
