iter	Passed	Remaining
0	22	22478
1	28	14408
2	35	11771
3	41	10431
4	48	9713
5	56	9280
6	64	9141
7	70	8783
8	76	8428
9	81	8115
10	87	7881
11	93	7726
12	99	7591
13	105	7447
14	112	7368
15	118	7315
16	125	7244
17	131	7175
18	138	7127
19	144	7065
20	151	7049
21	157	7009
22	164	6967
23	170	6920
24	176	6893
25	183	6861
26	189	6823
27	195	6796
28	201	6758
29	208	6732
30	214	6705
31	220	6669
32	225	6603
33	230	6558
34	236	6512
35	241	6460
36	246	6421
37	252	6387
38	257	6338
39	263	6312
40	268	6271
41	273	6236
42	278	6202
43	283	6164
44	289	6153
45	295	6127
46	301	6117
47	309	6143
48	316	6149
49	323	6150
50	330	6147
51	337	6153
52	343	6138
53	350	6132
54	356	6122
55	364	6136
56	370	6127
57	377	6126
58	383	6113
59	390	6124
60	398	6126
61	404	6115
62	411	6125
63	418	6123
64	426	6136
65	433	6134
66	440	6134
67	448	6149
68	455	6142
69	461	6132
70	469	6138
71	475	6125
72	482	6124
73	489	6131
74	496	6129
75	503	6120
76	510	6116
77	515	6098
78	522	6094
79	529	6088
80	535	6077
81	541	6061
82	549	6073
83	556	6065
84	563	6065
85	570	6063
86	577	6064
87	583	6047
88	588	6024
89	594	6008
90	599	5988
91	605	5974
92	610	5950
93	615	5927
94	620	5914
95	626	5898
96	631	5883
97	636	5859
98	641	5840
99	648	5840
100	655	5830
101	661	5825
102	667	5815
103	674	5814
104	681	5809
105	688	5804
106	696	5810
107	703	5813
108	710	5804
109	716	5800
110	723	5795
111	730	5789
112	736	5784
113	743	5775
114	750	5774
115	757	5770
116	763	5765
117	770	5759
118	777	5756
119	784	5753
120	790	5746
121	797	5737
122	803	5730
123	810	5723
124	815	5711
125	822	5706
126	828	5694
127	835	5691
128	842	5689
129	849	5684
130	855	5672
131	860	5660
132	867	5656
133	874	5652
134	881	5650
135	888	5643
136	893	5631
137	899	5617
138	904	5604
139	912	5602
140	921	5611
141	929	5614
142	938	5622
143	949	5646
144	958	5653
145	971	5681
146	979	5684
147	992	5712
148	999	5708
149	1007	5708
150	1013	5696
151	1018	5681
152	1024	5670
153	1029	5658
154	1034	5642
155	1040	5627
156	1045	5613
157	1051	5601
158	1057	5591
159	1063	5582
160	1069	5575
161	1076	5568
162	1083	5561
163	1088	5550
164	1095	5543
165	1101	5535
166	1108	5531
167	1116	5529
168	1122	5519
169	1129	5516
170	1137	5512
171	1143	5506
172	1150	5501
173	1158	5497
174	1165	5495
175	1174	5501
176	1184	5506
177	1192	5507
178	1199	5499
179	1206	5497
180	1213	5489
181	1219	5481
182	1226	5473
183	1235	5477
184	1260	5554
185	1272	5568
186	1280	5568
187	1287	5562
188	1293	5550
189	1299	5538
190	1305	5527
191	1310	5514
192	1315	5499
193	1320	5484
194	1325	5471
195	1330	5459
196	1335	5443
197	1340	5431
198	1346	5418
199	1351	5404
200	1356	5391
201	1361	5378
202	1366	5364
203	1371	5351
204	1376	5336
205	1380	5322
206	1385	5308
207	1391	5298
208	1396	5283
209	1401	5273
210	1407	5262
211	1412	5249
212	1417	5238
213	1422	5225
214	1427	5210
215	1432	5197
216	1442	5206
217	1448	5195
218	1453	5183
219	1458	5172
220	1463	5160
221	1470	5154
222	1478	5151
223	1484	5143
224	1492	5140
225	1498	5133
226	1505	5127
227	1512	5119
228	1518	5113
229	1525	5107
230	1531	5098
231	1539	5095
232	1546	5090
233	1552	5081
234	1558	5074
235	1565	5067
236	1571	5058
237	1577	5049
238	1582	5037
239	1587	5027
240	1593	5018
241	1598	5008
242	1605	5001
243	1613	4997
244	1619	4991
245	1627	4986
246	1634	4982
247	1640	4975
248	1647	4967
249	1654	4964
250	1662	4960
251	1668	4952
252	1676	4948
253	1687	4955
254	1693	4948
255	1701	4943
256	1708	4938
257	1714	4931
258	1722	4927
259	1728	4919
260	1735	4912
261	1741	4905
262	1748	4900
263	1754	4892
264	1761	4885
265	1767	4877
266	1774	4872
267	1781	4866
268	1788	4860
269	1795	4854
270	1802	4849
271	1809	4842
272	1816	4836
273	1823	4830
274	1829	4823
275	1836	4816
276	1842	4809
277	1849	4802
278	1855	4795
279	1862	4788
280	1869	4783
281	1876	4777
282	1882	4769
283	1888	4761
284	1895	4754
285	1900	4744
286	1906	4735
287	1911	4726
288	1917	4716
289	1922	4705
290	1927	4695
291	1932	4685
292	1938	4676
293	1944	4668
294	1950	4661
295	1955	4652
296	1962	4644
297	1968	4638
298	1975	4631
299	1982	4626
300	1988	4618
301	1995	4612
302	2002	4606
303	2009	4600
304	2016	4594
305	2023	4588
306	2030	4582
307	2037	4578
308	2045	4573
309	2053	4570
310	2060	4564
311	2066	4557
312	2073	4551
313	2081	4546
314	2088	4541
315	2095	4535
316	2102	4530
317	2108	4522
318	2115	4516
319	2122	4510
320	2128	4503
321	2134	4494
322	2140	4486
323	2146	4479
324	2152	4469
325	2158	4463
326	2165	4457
327	2171	4449
328	2177	4441
329	2183	4433
330	2190	4427
331	2197	4421
332	2204	4415
333	2210	4408
334	2217	4401
335	2223	4394
336	2230	4388
337	2237	4383
338	2244	4376
339	2250	4369
340	2256	4360
341	2262	4353
342	2270	4348
343	2276	4340
344	2282	4333
345	2289	4327
346	2296	4322
347	2303	4316
348	2309	4308
349	2316	4302
350	2321	4292
351	2326	4283
352	2332	4274
353	2337	4265
354	2342	4256
355	2348	4248
356	2354	4240
357	2359	4230
358	2364	4222
359	2371	4215
360	2379	4212
361	2387	4208
362	2395	4204
363	2403	4198
364	2410	4194
365	2417	4187
366	2424	4181
367	2432	4177
368	2439	4171
369	2445	4164
370	2452	4157
371	2460	4153
372	2467	4148
373	2475	4142
374	2482	4137
375	2488	4130
376	2496	4124
377	2503	4118
378	2509	4112
379	2515	4104
380	2522	4098
381	2529	4092
382	2538	4088
383	2544	4082
384	2551	4075
385	2559	4071
386	2566	4065
387	2572	4057
388	2578	4050
389	2584	4042
390	2590	4034
391	2596	4027
392	2603	4021
393	2610	4015
394	2617	4009
395	2624	4003
396	2631	3997
397	2638	3990
398	2645	3984
399	2652	3978
400	2659	3973
401	2666	3967
402	2674	3962
403	2681	3956
404	2688	3949
405	2695	3943
406	2701	3936
407	2709	3930
408	2716	3924
409	2722	3918
410	2730	3912
411	2735	3904
412	2743	3898
413	2748	3890
414	2753	3881
415	2759	3873
416	2764	3865
417	2769	3856
418	2775	3848
419	2780	3840
420	2786	3832
421	2791	3823
422	2796	3815
423	2801	3805
424	2809	3801
425	2817	3796
426	2826	3792
427	2833	3787
428	2840	3780
429	2848	3775
430	2855	3769
431	2864	3765
432	2871	3760
433	2879	3755
434	2885	3748
435	2891	3740
436	2900	3736
437	2906	3729
438	2914	3723
439	2923	3720
440	2930	3714
441	2937	3707
442	2944	3701
443	2951	3696
444	2957	3688
445	3040	3776
446	3049	3772
447	3068	3780
448	3075	3774
449	3081	3766
450	3089	3760
451	3095	3753
452	3102	3745
453	3109	3739
454	3115	3732
455	3122	3725
456	3129	3718
457	3136	3711
458	3143	3705
459	3150	3698
460	3156	3690
461	3161	3681
462	3168	3674
463	3174	3666
464	3180	3659
465	3187	3652
466	3194	3646
467	3201	3639
468	3208	3632
469	3215	3625
470	3221	3617
471	3227	3610
472	3234	3604
473	3241	3597
474	3247	3589
475	3254	3582
476	3260	3575
477	3267	3568
478	3274	3561
479	3281	3554
480	3287	3547
481	3294	3540
482	3301	3534
483	3308	3527
484	3315	3520
485	3321	3512
486	3328	3506
487	3334	3498
488	3341	3492
489	3348	3485
490	3354	3477
491	3360	3469
492	3366	3461
493	3370	3452
494	3376	3444
495	3382	3437
496	3388	3428
497	3394	3421
498	3400	3413
499	3405	3405
500	3409	3396
501	3415	3388
502	3421	3380
503	3426	3372
504	3433	3365
505	3440	3358
506	3446	3350
507	3451	3342
508	3457	3335
509	3464	3328
510	3469	3319
511	3475	3312
512	3481	3304
513	3487	3297
514	3493	3290
515	3500	3283
516	3506	3275
517	3513	3268
518	3518	3260
519	3523	3252
520	3529	3245
521	3535	3237
522	3542	3230
523	3549	3224
524	3554	3216
525	3559	3207
526	3564	3199
527	3570	3191
528	3576	3184
529	3581	3176
530	3588	3169
531	3593	3160
532	3598	3153
533	3604	3145
534	3610	3138
535	3616	3130
536	3622	3123
537	3632	3119
538	3638	3111
539	3643	3103
540	3650	3096
541	3657	3090
542	3663	3083
543	3670	3076
544	3678	3070
545	3685	3064
546	3692	3058
547	3699	3051
548	3707	3045
549	3714	3039
550	3721	3032
551	3729	3026
552	3735	3019
553	3742	3013
554	3749	3006
555	3757	3000
556	3764	2994
557	3772	2987
558	3779	2981
559	3786	2975
560	3793	2968
561	3799	2961
562	3806	2954
563	3813	2947
564	3819	2940
565	3826	2933
566	3832	2926
567	3838	2919
568	3844	2912
569	3851	2905
570	3858	2898
571	3864	2891
572	3870	2884
573	3877	2877
574	3883	2870
575	3889	2862
576	3895	2855
577	3901	2848
578	3908	2841
579	3913	2834
580	3919	2826
581	3926	2819
582	3932	2812
583	3939	2805
584	3946	2799
585	3952	2792
586	3958	2785
587	3964	2778
588	3971	2771
589	3977	2763
590	3984	2757
591	3991	2750
592	3998	2744
593	4004	2736
594	4011	2730
595	4017	2723
596	4023	2716
597	4030	2709
598	4035	2701
599	4041	2694
600	4046	2686
601	4052	2679
602	4059	2672
603	4066	2665
604	4072	2659
605	4078	2651
606	4085	2645
607	4092	2638
608	4099	2631
609	4105	2624
610	4111	2617
611	4117	2610
612	4124	2603
613	4131	2597
