iter	MultiClass
0	1.582850741
1	1.558745522
2	1.53699872
3	1.514935582
4	1.496690858
5	1.479294911
6	1.461718648
7	1.444924473
8	1.429966199
9	1.415640529
10	1.403477734
11	1.391479964
12	1.379458623
13	1.36895724
14	1.358397892
15	1.348279094
16	1.339389975
17	1.33069503
18	1.323428408
19	1.314110295
20	1.306977918
21	1.300537761
22	1.293249927
23	1.285632811
24	1.280233863
25	1.273672346
26	1.266924121
27	1.261603664
28	1.255798712
29	1.250454814
30	1.246212932
31	1.239631793
32	1.234722636
33	1.228960038
34	1.223975249
35	1.218854635
36	1.21330688
37	1.207638985
38	1.203800616
39	1.198080048
40	1.192841171
41	1.18695058
42	1.183254201
43	1.179619354
44	1.174104664
45	1.169720573
46	1.164618381
47	1.160425181
48	1.156025128
49	1.151910645
50	1.147130515
51	1.143169935
52	1.140702782
53	1.137034522
54	1.134106213
55	1.13009583
56	1.126972753
57	1.12359812
58	1.120248291
59	1.11664051
60	1.113460451
61	1.111289342
62	1.10787414
63	1.104744938
64	1.101872494
65	1.098772256
66	1.09514288
67	1.091458529
68	1.088470178
69	1.085528979
70	1.083596013
71	1.081733806
72	1.079250034
73	1.07743518
74	1.074224266
75	1.071942783
76	1.069897624
77	1.066942008
78	1.065143251
79	1.062951474
80	1.061183051
81	1.058198108
82	1.056620807
83	1.055326256
84	1.053848317
85	1.051286392
86	1.049109305
87	1.047903179
88	1.046274888
89	1.043902057
90	1.042080073
91	1.040547435
92	1.038773711
93	1.036910501
94	1.03500271
95	1.032827695
96	1.031288298
97	1.028556016
98	1.027212639
99	1.025130337
100	1.023241058
101	1.021590204
102	1.020280057
103	1.018450219
104	1.016749035
105	1.015435796
106	1.013747742
107	1.011239699
108	1.009875615
109	1.007644341
110	1.005080714
111	1.003513947
112	1.001205628
113	1.000140725
114	0.9981590309
115	0.9964446065
116	0.9949997561
117	0.9926952776
118	0.9911680524
119	0.9885477569
120	0.9870756826
121	0.9852944255
122	0.9840964932
123	0.9821620367
124	0.9802625065
125	0.9790436451
126	0.9775679974
127	0.9755481625
128	0.9740025939
129	0.9724143431
130	0.9705715319
131	0.9687554781
132	0.9677076264
133	0.9659268131
134	0.9651967511
135	0.9640083945
136	0.9628819421
137	0.9607065532
138	0.9590293052
139	0.9567392249
140	0.9549208536
141	0.9536456238
142	0.9520089625
143	0.9505440809
144	0.9493449173
145	0.9477717107
146	0.9464297914
147	0.9451752771
148	0.9433814263
149	0.9421816962
