iter	Passed	Remaining
0	10	1530
1	18	1397
2	27	1329
3	35	1290
4	42	1237
5	50	1211
6	58	1190
7	65	1163
8	73	1151
9	81	1142
10	89	1127
11	96	1114
12	104	1103
13	112	1089
14	119	1074
15	127	1065
16	135	1058
17	142	1047
18	149	1032
19	155	1011
20	161	990
21	167	973
22	173	958
23	179	941
24	184	924
25	190	907
26	196	893
27	201	877
28	207	864
29	213	852
30	218	840
31	224	827
32	230	816
33	236	807
34	241	794
35	247	784
36	253	774
37	259	764
38	264	754
39	270	744
40	276	734
41	282	727
42	288	718
43	294	708
44	300	700
45	305	691
46	311	683
47	317	674
48	322	665
49	328	656
50	334	648
51	339	639
52	345	631
53	350	623
54	356	615
55	361	607
56	367	600
57	373	592
58	379	585
59	385	578
60	391	571
61	396	563
62	402	555
63	408	549
64	415	543
65	421	536
66	428	531
67	435	524
68	441	518
69	448	512
70	454	505
71	460	499
72	467	493
73	473	486
74	480	480
75	487	474
76	494	468
77	500	462
78	507	456
79	513	449
80	520	443
81	526	436
82	532	429
83	538	423
84	545	417
85	555	413
86	561	406
87	567	399
88	573	392
89	579	386
90	585	379
91	590	372
92	597	366
93	603	359
94	608	352
95	614	345
96	620	339
97	626	332
98	632	325
99	638	319
100	643	312
101	649	305
102	655	298
103	661	292
104	667	286
105	673	279
106	680	273
107	686	266
108	692	260
109	698	253
110	704	247
111	709	240
112	715	234
113	721	227
114	727	221
115	732	214
116	738	208
117	744	201
118	750	195
119	757	189
120	762	182
121	768	176
122	774	170
123	780	163
124	786	157
125	792	150
126	798	144
127	804	138
128	810	131
129	816	125
130	822	119
131	828	112
132	833	106
133	839	100
134	845	93
135	851	87
136	857	81
137	863	75
138	869	68
139	874	62
140	881	56
141	887	49
142	892	43
143	898	37
144	904	31
145	910	24
146	915	18
147	922	12
148	927	6
149	933	0
