iter	Passed	Remaining
0	10	1571
1	17	1330
2	26	1318
3	35	1296
4	43	1269
5	50	1223
6	59	1208
7	66	1182
8	74	1165
9	82	1148
10	89	1134
11	97	1115
12	104	1101
13	112	1089
14	119	1076
15	127	1065
16	135	1056
17	154	1131
18	188	1300
19	195	1271
20	202	1245
21	208	1212
22	213	1180
23	219	1150
24	224	1123
25	230	1096
26	235	1071
27	240	1046
28	245	1025
29	251	1004
30	257	988
31	263	973
32	269	956
33	275	940
34	281	924
35	287	911
36	294	898
37	300	885
38	306	872
39	312	859
40	318	847
41	324	834
42	331	823
43	337	811
44	342	799
45	348	787
46	354	775
47	360	765
48	366	754
49	372	744
50	378	734
51	384	724
52	390	715
53	398	708
54	404	698
55	410	688
56	416	679
57	422	670
58	428	661
59	434	652
60	440	642
61	446	633
62	452	624
63	458	615
64	463	606
65	469	597
66	475	589
67	481	580
68	487	572
69	493	564
70	499	556
71	505	548
72	512	540
73	518	532
74	524	524
75	529	515
76	535	507
77	541	499
78	547	491
79	553	484
80	559	476
81	565	469
82	572	461
83	578	454
84	584	446
85	590	439
86	596	431
87	601	423
88	607	416
89	613	409
90	619	401
91	625	394
92	631	386
93	638	380
94	644	373
95	650	366
96	657	359
97	662	351
98	668	344
99	674	337
100	680	330
101	686	323
102	692	315
103	699	309
104	705	302
105	711	295
106	717	288
107	723	281
108	728	274
109	734	267
110	740	260
111	746	253
112	752	246
113	757	239
114	763	232
115	770	225
116	776	219
117	782	212
118	790	205
119	796	199
120	803	192
121	809	185
122	815	178
123	821	172
124	828	165
125	834	159
126	841	152
127	848	145
128	854	139
129	860	132
130	866	125
131	872	119
132	878	112
133	884	105
134	890	98
135	896	92
136	902	85
137	908	79
138	916	72
139	922	65
140	928	59
141	935	52
142	941	46
143	947	39
144	953	32
145	958	26
146	965	19
147	971	13
148	977	6
149	983	0
