Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa randomoversampling,Random Forest,0.9861616897305172,0.9833046180373562,0.9842400639359368,0.9837710830391158
Baseline Performa randomoversampling,KNN,0.9658897790725904,0.9570285037734212,0.9681866399804442,0.9623204929874406
Baseline Performa randomoversampling,Naive Bayes,0.382252974022821,0.3555597146375054,0.3691625217709744,0.3499413157048539
Baseline Performa randomoversampling,Decision Tree,0.9726875455207574,0.966878613458214,0.9700149112976802,0.9684214929057308
Baseline Performa randomoversampling,Extra Trees,0.985797523670794,0.9832465034516502,0.9831298393547238,0.9831851831900084
normalization Performa randomoversampling,Random Forest,0.984947802864773,0.98186014575644,0.9827757158775684,0.9823158784547392
normalization Performa randomoversampling,KNN,0.9577567370721048,0.9475488857911382,0.9606927381637131,0.9536973966344144
normalization Performa randomoversampling,Naive Bayes,0.382252974022821,0.3555597146375054,0.3691625217709744,0.3499413157048539
normalization Performa randomoversampling,Decision Tree,0.972566156834183,0.9667138175846964,0.9698435316918534,0.968254164066252
normalization Performa randomoversampling,Extra Trees,0.9859189123573684,0.98324354983067,0.98355026566651,0.9833946832750116
pca 8 Performa randomoversampling,Random Forest,0.9644331148336976,0.9563507055349756,0.960125482168146,0.9582020573596246
pca 8 Performa randomoversampling,KNN,0.9475600873998544,0.9346231463730532,0.9513019589250776,0.9423058320658594
pca 8 Performa randomoversampling,Naive Bayes,0.4382131585336247,0.4232770976363992,0.4507718398339048,0.4182509013244809
pca 8 Performa randomoversampling,Decision Tree,0.9258315125030347,0.9129892654815176,0.9201864582357276,0.9164732668526202
pca 8 Performa randomoversampling,Extra Trees,0.967831998057781,0.9612881222452654,0.9639160246143852,0.962579005801054
pca 7 Performa randomoversampling,Random Forest,0.956907016266084,0.9496242772362856,0.9514258511384464,0.9504826446576128
pca 7 Performa randomoversampling,KNN,0.9378489924739014,0.9234542254965366,0.94299348247284,0.9323869777266168
pca 7 Performa randomoversampling,Naive Bayes,0.411750424860403,0.3911154276947739,0.4126243894215406,0.3904793543559444
pca 7 Performa randomoversampling,Decision Tree,0.9172129157562516,0.9050254642905282,0.9130471332001514,0.9088795049780868
pca 7 Performa randomoversampling,Extra Trees,0.9609128429230396,0.9544905110477996,0.9562328456477552,0.9553118904011624
pca 6 Performa randomoversampling,Random Forest,0.950716193250789,0.9423264900505764,0.9459982707289794,0.944115193405968
pca 6 Performa randomoversampling,KNN,0.9283806749210972,0.9137557770006024,0.934102260445246,0.9230489581720182
pca 6 Performa randomoversampling,Naive Bayes,0.3977907259043457,0.3660308482158917,0.3906185181921433,0.3690124071743049
pca 6 Performa randomoversampling,Decision Tree,0.9130857004127216,0.8985109116316534,0.908438501519334,0.9032146001563244
pca 6 Performa randomoversampling,Extra Trees,0.9590920126244236,0.9522225648161514,0.9549026359684591,0.9535287328709808
pca 5 Performa randomoversampling,Random Forest,0.9389414906530711,0.9285172411483918,0.9344213166513138,0.9313802163973401
pca 5 Performa randomoversampling,KNN,0.9098082058752124,0.8930716871570821,0.9162930109943266,0.9036680454223284
pca 5 Performa randomoversampling,Naive Bayes,0.3889293517844137,0.35379593470156834,0.377548538390711,0.3549244952697519
pca 5 Performa randomoversampling,Decision Tree,0.902282107307599,0.8886738844217144,0.8977978771152267,0.8930306202226121
pca 5 Performa randomoversampling,Extra Trees,0.9488953629521728,0.9414973086131591,0.9458669077001971,0.9436413441375967
