iter	MultiClass
0	1.583724799
1	1.559799449
2	1.538987982
3	1.518732828
4	1.496777571
5	1.479695634
6	1.464270313
7	1.449326945
8	1.435348452
9	1.421460694
10	1.407746177
11	1.395665112
12	1.386667207
13	1.375994418
14	1.365639549
15	1.355844771
16	1.345535238
17	1.336258253
18	1.327579118
19	1.318904175
20	1.312070916
21	1.304772796
22	1.296776649
23	1.290098899
24	1.28382417
25	1.276052226
26	1.269314276
27	1.264076955
28	1.257075585
29	1.249177158
30	1.245193931
31	1.240291766
32	1.234055925
33	1.229059859
34	1.224400823
35	1.21986805
36	1.215395307
37	1.210250347
38	1.205859563
39	1.201597247
40	1.196598648
41	1.192271747
42	1.188823642
43	1.184644869
44	1.180354251
45	1.17680519
46	1.171361503
47	1.167884228
48	1.165038783
49	1.16008725
50	1.157377415
51	1.153921275
52	1.150740972
53	1.147373422
54	1.142906915
55	1.140372471
56	1.13745101
57	1.134693625
58	1.131889382
59	1.128773277
60	1.126416223
61	1.12412341
62	1.121379381
63	1.118781903
64	1.115692101
65	1.11309452
66	1.109612996
67	1.10616131
68	1.103583275
69	1.101214558
70	1.098736511
71	1.095406719
72	1.093353397
73	1.090885442
74	1.087894245
75	1.085589832
76	1.08269356
77	1.08030459
78	1.078053876
79	1.076670026
80	1.074540413
81	1.071799997
82	1.069191774
83	1.067026557
84	1.064510713
85	1.062754813
86	1.059961578
87	1.056901198
88	1.053899333
89	1.052208792
90	1.050481473
91	1.047440493
92	1.04472256
93	1.043054808
94	1.041143014
95	1.038832858
96	1.036907087
97	1.034612493
98	1.033187783
99	1.031881848
100	1.029975127
101	1.027588915
102	1.025494357
103	1.02413895
104	1.021856032
105	1.020096404
106	1.019010405
107	1.01774694
108	1.016549567
109	1.014906069
110	1.012855265
111	1.011502347
112	1.008851021
113	1.006573633
114	1.005296683
115	1.003213059
116	1.001422033
117	1.000046281
118	0.998602869
119	0.9968826203
120	0.9954366987
121	0.9939128759
122	0.9926692051
123	0.9906310949
124	0.9894861502
125	0.9881349767
126	0.9864623045
127	0.9852490072
128	0.9839363155
129	0.9817495152
130	0.9806114934
131	0.9787237779
132	0.977237951
133	0.9755389929
134	0.9744380575
135	0.972518912
136	0.9708646491
137	0.969288738
138	0.967715931
139	0.9661504277
140	0.9644161596
141	0.9635967531
142	0.9619560743
143	0.9606583701
144	0.9587233736
145	0.9571034558
146	0.9560883751
147	0.9548189421
148	0.9538494494
149	0.9526951311
