iter	Passed	Remaining
0	14	2093
1	21	1613
2	29	1442
3	37	1354
4	47	1376
5	55	1322
6	65	1329
7	73	1297
8	81	1282
9	89	1254
10	98	1249
11	107	1236
12	115	1214
13	123	1196
14	137	1237
15	145	1221
16	152	1194
17	158	1163
18	164	1135
19	171	1112
20	176	1084
21	183	1064
22	189	1046
23	195	1028
24	201	1007
25	208	992
26	214	975
27	219	955
28	225	942
29	231	927
30	237	912
31	243	899
32	250	887
33	256	874
34	261	859
35	267	847
36	273	836
37	279	824
38	285	813
39	291	802
40	298	792
41	304	782
42	311	774
43	316	763
44	323	755
45	331	750
46	338	741
47	344	731
48	349	720
49	355	711
50	361	702
51	367	692
52	373	684
53	379	674
54	385	665
55	391	656
56	397	647
57	402	639
58	408	630
59	415	622
60	421	614
61	426	605
62	432	597
63	438	588
64	443	580
65	449	571
66	454	563
67	460	555
68	467	548
69	473	540
70	478	532
71	484	525
72	490	517
73	496	509
74	502	502
75	507	494
76	513	486
77	522	482
78	528	475
79	534	468
80	540	460
81	547	453
82	554	447
83	561	441
84	568	434
85	575	427
86	581	421
87	588	414
88	594	407
89	600	400
90	606	393
91	613	386
92	619	379
93	625	372
94	631	365
95	637	358
96	643	351
97	649	344
98	654	337
99	660	330
100	666	323
101	672	316
102	679	309
103	685	303
104	690	296
105	699	290
106	705	283
107	710	276
108	716	269
109	722	262
110	729	256
111	735	249
112	741	242
113	749	236
114	755	229
115	760	222
116	766	216
117	772	209
118	778	202
119	784	196
120	790	189
121	796	182
122	801	175
123	808	169
124	813	162
125	820	156
126	827	149
127	834	143
128	840	136
129	845	130
130	851	123
131	858	117
132	864	110
133	870	103
134	876	97
135	882	90
136	888	84
137	895	77
138	900	71
139	906	64
140	912	58
141	918	51
142	924	45
143	930	38
144	935	32
145	941	25
146	948	19
147	954	12
148	961	6
149	967	0
