iter	MultiClass
0	1.573594355
1	1.54273277
2	1.513161223
3	1.486211848
4	1.462858467
5	1.441058749
6	1.422613072
7	1.404139359
8	1.390000972
9	1.375576112
10	1.361775827
11	1.349588282
12	1.336869351
13	1.325763152
14	1.31482744
15	1.306464745
16	1.296778978
17	1.287321226
18	1.27912462
19	1.271334681
20	1.26335326
21	1.257027427
22	1.250890655
23	1.243428766
24	1.237315
25	1.230356331
26	1.2237263
27	1.218217812
28	1.2104743
29	1.203246288
30	1.195918351
31	1.190489352
32	1.185142311
33	1.181889546
34	1.17754618
35	1.17345309
36	1.168387932
37	1.163255983
38	1.159523198
39	1.154873505
40	1.152077669
41	1.14846422
42	1.143441365
43	1.140153219
44	1.137669641
45	1.13443964
46	1.130862859
47	1.127794591
48	1.124460406
49	1.121430328
50	1.118460011
51	1.116592956
52	1.11142628
53	1.108057612
54	1.103570708
55	1.100011159
56	1.096884457
57	1.094813064
58	1.091117912
59	1.088992983
60	1.087212363
61	1.084955203
62	1.081473921
63	1.078919609
64	1.076832513
65	1.074748195
66	1.072300937
67	1.070095855
68	1.067021178
69	1.065060235
70	1.062037182
71	1.059913923
72	1.057529015
73	1.055435239
74	1.053258059
75	1.050454149
76	1.048156916
77	1.044920116
78	1.042883232
79	1.040429905
80	1.039246451
81	1.037719084
82	1.035394395
83	1.033772586
84	1.0315894
85	1.029572512
86	1.027846194
87	1.026051695
88	1.023609744
89	1.021277227
90	1.020083615
91	1.018367065
92	1.017381236
93	1.015724633
94	1.01479065
95	1.012600338
96	1.010494081
97	1.008792916
98	1.006891158
99	1.005697692
100	1.004641981
101	1.003193625
102	1.002119127
103	1.001091611
104	0.9990873482
105	0.9978195288
106	0.9962032217
107	0.9945001248
108	0.9934404055
109	0.9919536784
110	0.9902080045
111	0.9883077262
112	0.9866050042
113	0.9851385737
114	0.983523007
115	0.9820444111
116	0.9801241001
117	0.9777368602
118	0.9762962372
119	0.9752842714
120	0.9742256056
121	0.9731796362
122	0.9712041881
123	0.9698237307
124	0.9680766369
125	0.9666495748
126	0.9659197556
127	0.965224052
128	0.9640563432
129	0.9622839362
130	0.9607315381
131	0.9589692354
132	0.9581101471
133	0.9561472586
134	0.9540245152
135	0.9523433658
136	0.9509602038
137	0.949634236
138	0.9487017723
139	0.9472017914
140	0.9458255502
141	0.9447499076
142	0.9436537385
143	0.9421532145
144	0.9406664403
145	0.9399800678
146	0.939090736
147	0.9380636612
148	0.9365936094
149	0.9353380767
