iter	Passed	Remaining
0	5	823
1	10	765
2	15	752
3	20	740
4	25	733
5	30	727
6	35	715
7	39	698
8	43	684
9	48	675
10	53	671
11	57	665
12	63	665
13	68	660
14	72	654
15	77	650
16	82	647
17	87	641
18	92	637
19	97	633
20	102	629
21	107	625
22	112	620
23	117	616
24	122	613
25	127	607
26	132	601
27	136	596
28	141	591
29	146	586
30	151	582
31	156	578
32	161	574
33	166	568
34	171	563
35	176	558
36	181	553
37	186	548
38	191	543
39	195	536
40	199	529
41	203	522
42	207	515
43	210	508
44	214	501
45	218	494
46	224	491
47	228	485
48	232	479
49	236	472
50	240	466
51	244	460
52	248	454
53	252	448
54	256	442
55	260	437
56	264	431
57	268	425
58	272	420
59	276	414
60	280	409
61	284	404
62	288	398
63	293	394
64	297	388
65	301	383
66	304	377
67	308	372
68	313	368
69	317	363
70	321	357
71	325	352
72	329	347
73	333	342
74	338	338
75	341	332
76	345	328
77	350	323
78	354	318
79	358	313
80	362	308
81	367	304
82	371	300
83	375	294
84	379	290
85	383	285
86	387	280
87	391	275
88	395	270
89	399	266
90	403	261
91	407	256
92	410	251
93	414	247
94	419	242
95	423	237
96	427	233
97	431	228
98	435	224
99	439	219
100	443	215
101	447	210
102	451	206
103	455	201
104	459	196
105	463	192
106	467	188
107	471	183
108	475	178
109	479	174
110	483	169
111	487	165
112	491	161
113	495	156
114	499	152
115	503	147
116	507	143
117	511	138
118	515	134
119	519	129
120	524	125
121	527	121
122	531	116
123	536	112
124	540	108
125	544	103
126	548	99
127	552	94
128	556	90
129	560	86
130	564	81
131	568	77
132	572	73
133	576	68
134	581	64
135	585	60
136	588	55
137	592	51
138	596	47
139	599	42
140	603	38
141	607	34
142	611	29
143	616	25
144	619	21
145	623	17
146	627	12
147	631	8
148	634	4
149	638	0
