Percobaan,Model,Accuracy,Precision,Recall,F1-Score
Baseline Performa Ensemble Imbalance,Bagging,0.9836125273124544,0.9815592713808452,0.979478655990729,0.980470281719531
Baseline Performa Ensemble Imbalance,AdaBoost,0.4832483612527312,0.3783586099967141,0.3619857088142662,0.3373978529553924
Baseline Performa Ensemble Imbalance,GradientBoosting,0.8075989317795581,0.8211885172572378,0.7581130765768033,0.7831350325174801
Baseline Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9830055838795824,0.9811229911682208,0.9792113180134304,0.9801285074345656
Baseline Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9848264141781986,0.98333369564083,0.9806707721466748,0.9819628972093108
Baseline Normalization Performa Ensemble Imbalance,Bagging,0.982884195193008,0.9807322078684788,0.9784425519390186,0.9795438007302988
Baseline Normalization Performa Ensemble Imbalance,AdaBoost,0.4832483612527312,0.3783586099967141,0.3619857088142662,0.3373978529553924
Baseline Normalization Performa Ensemble Imbalance,GradientBoosting,0.8075989317795581,0.8211885172572378,0.7581130765768033,0.7831350325174801
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.98349113862588,0.981787620530327,0.9800295612291507,0.9808766411120254
Baseline Normalization Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9854333576110706,0.9844531313909756,0.9816334684432558,0.983017207456296
PCA 8 Performa Ensemble Imbalance,Bagging,0.956300072833212,0.9541897869672756,0.9465534672328516,0.9502448758401856
PCA 8 Performa Ensemble Imbalance,AdaBoost,0.4764505948045642,0.488325169173134,0.3262074108587348,0.3180408769870665
PCA 8 Performa Ensemble Imbalance,GradientBoosting,0.7008982762806506,0.7317522490046675,0.6228256034149529,0.6554079051456704
PCA 8 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9493809176984706,0.9437240778010988,0.9379939467054368,0.9407852431649412
PCA 8 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9632192279679532,0.961701828585692,0.9528697898333094,0.957138887244768
PCA 7 Performa Ensemble Imbalance,Bagging,0.9496236950716194,0.9472333418748218,0.9381935915833052,0.9425866151097868
PCA 7 Performa Ensemble Imbalance,AdaBoost,0.4598203447438698,0.4499907211361029,0.3174447907921602,0.3034315851224228
PCA 7 Performa Ensemble Imbalance,GradientBoosting,0.6890021849963583,0.7221023193875238,0.6079572827633071,0.6411567932750465
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.936270939548434,0.9293120499392946,0.9229787377555816,0.9260807122611224
PCA 7 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9572711823258072,0.9556893736194688,0.9463593104044832,0.95083179544136
PCA 6 Performa Ensemble Imbalance,Bagging,0.949259529011896,0.946432895459469,0.938505746222873,0.9423493136352248
PCA 6 Performa Ensemble Imbalance,AdaBoost,0.4529011896091284,0.4136833697184386,0.3022389341437025,0.2749476148304676
PCA 6 Performa Ensemble Imbalance,GradientBoosting,0.6737072104879825,0.7093988293446285,0.5992644459103538,0.6312612332886008
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9407623209516872,0.9350394858309804,0.929470201481578,0.9321325533942566
PCA 6 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9567856275795096,0.954909041390912,0.945913188629113,0.9502471943717508
PCA 5 Performa Ensemble Imbalance,Bagging,0.9368778829813061,0.9320454353306195,0.9236790145832865,0.9277293722159674
PCA 5 Performa Ensemble Imbalance,AdaBoost,0.4547220199077446,0.41965661119038106,0.29324066856412456,0.2701529030289784
PCA 5 Performa Ensemble Imbalance,GradientBoosting,0.6499150279193979,0.670406591313226,0.5691632064601425,0.5958709789525565
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+DT) soft,0.9235251274581209,0.914696439573062,0.9118606964274651,0.9132618856074954
PCA 5 Performa Ensemble Imbalance,Voting (RF+ET+DT) hard,0.9427045399368779,0.9393855485500511,0.9291817123657877,0.9340882091899886
